year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9628,-38.91,,,
1992.9891,-88.76,,,
1993.0426,-62.4,,,
1993.0977,-67.33,,,
1993.151,-88.09,,,
1993.1792,-11.04,,,
1993.2097,-69.05,,,
1993.2877,-53.86,,,
1993.3149,-44.09,,,
1993.3423,-23.99,,,
1993.3692,-24.34,,,
1993.4008,-27.63,,,
1993.4234,-18.7,,,
1993.4507,-33.97,,,
1993.4782,-46.33,,,
1993.4968,-68.37,,,
1993.5321,-74.42,,,
1993.5863,-30.09,,,
1993.6134,-41.1,,,
1993.6397,-15.01,,,
1993.6678,-23.32,,,
1993.6942,-52.53,,,
1993.7218,-23.08,,,
1993.7502,-34.84,,,
1993.7765,33.02,,,
1993.8037,-2.42,,,
1993.858,31.56,,,
1993.9124,-41.5,,,
1993.9393,-6.92,,,
1993.9666,-41.61,,,
1993.9927,-25.38,,,
1994.0207,29.47,,,
1994.0477,5.41,,,
1994.1022,-59.03,,,
1994.1293,66.89,,,
1994.1569,22.21,,,
1994.1834,-87.38,,,
1994.2379,-77.61,,,
1994.2651,-56.72,,,
1994.2923,-6.4,,,
1994.3194,17.83,,,
1994.3466,-28.92,,,
1994.3737,13.31,,,
1994.4008,50.77,,,
1994.428,-27.62,,,
1994.4551,-30.08,,,
1994.514,20.71,,,
1994.5362,-37.71,,,
1994.5637,-44.52,,,
1994.5909,5.55,,,
1994.6178,-6.04,,,
1994.6457,1.88,,,
1994.6724,-26.12,,,
1994.6995,-24.22,,,
1994.7239,-55.65,,,
1994.7539,-20.85,,,
1994.7812,-85.85,,,
1994.8082,-20.23,,,
1994.8346,-30.72,,,
1994.8897,-29.49,,,
1994.9166,-37.78,,,
1994.944,-53.76,,,
1994.9706,-36.38,,,
1994.9981,-17.5,,,
1995.0256,-20.88,,,
1995.0524,-23.9,,,
1995.0794,-16.87,,,
1995.1066,-0.63,,,
1995.1336,42.72,,,
1995.1603,-24.32,,,
1995.2154,-55.42,,,
1995.2425,-97.5,,,
1995.2696,-90.14,,,
1995.2966,-13.43,,,
1995.3285,-11.02,,,
1995.379,-20.97,,,
1995.4053,-55.81,,,
1995.4331,-27.79,,,
1995.4596,-9.7,,,
1995.4866,-18.01,,,
1995.5411,-17.11,,,
1995.5726,-2.81,,,
1995.5951,-15.77,,,
1995.6224,-42.66,,,
1995.6498,-11.22,,,
1995.6762,-25.19,,,
1995.7041,-9.29,,,
1995.7311,-23.6,,,
1995.7582,-60.76,,,
1995.7855,-62.77,,,
1995.8399,-66.36,,,
1995.867,-32.46,,,
1995.8929,-7.6,,,
1995.9539,22.88,,,
1995.9755,82.77,,,
1995.9984,114.75,,,
1996.034,95.54,,,
1996.0564,-9.68,,,
1996.084,67.04,,,
1996.1115,55.54,,,
1996.1698,1.8,,,
1996.1927,-36.5,,,
1996.2199,49.92,,,
1996.2476,49.64,,,
1996.2742,18.69,,,
1996.3019,-11.53,,,
1996.3283,-43.78,,,
1996.3556,81.06,,,
1996.3823,96.79,,,
1996.4089,-5.44,,,
1996.4368,-63.27,,,
1996.4912,-61.99,,,
1996.5183,-57.96,,,
1996.5456,-55.19,,,
1996.5727,-29.43,,,
1996.5998,-36.62,,,
1996.627,-11.62,,,
1996.6542,-15.04,,,
1996.6813,-70.72,,,
1996.7078,-7.83,,,
1996.7361,23.16,,,
1996.7626,-18.38,,,
1996.817,-35.52,,,
1996.842,-41.02,,,
1996.8713,21.21,,,
1996.8986,49.24,,,
1996.9252,-0.05,,,
1996.9526,19.82,,,
1996.9801,91.07,,,
1997.0116,76,,,
1997.0341,84.59,,,
1997.0658,70.55,,,
1997.0887,-13.65,,,
1997.1425,-1.49,,,
1997.1738,-26.94,,,
1997.1971,-45.71,,,
1997.2243,18.88,,,
1997.2556,-68.01,,,
1997.3056,-98.84,,,
1997.3332,14.42,,,
1997.3601,51.3,,,
1997.3862,-0.04,,,
1997.4143,-15.63,,,
1997.4692,21.94,,,
1997.4921,-3.09,,,
1997.5228,-13.25,,,
1997.5495,-21.1,,,
1997.5772,-6.08,,,
1997.6274,-19.32,,,
1997.6586,22.01,,,
1997.6862,38.79,,,
1997.7128,9.54,,,
1997.7397,-53.25,,,
1997.7933,-6.83,,,
1997.821,26.66,,,
1997.8486,51.56,,,
1997.8758,105.06,,,
1997.9029,44.82,,,
1997.93,-11.34,,,
1997.9571,29.94,,,
1997.9846,110.88,,,
1998.0116,34.2,,,
1998.0386,-16.32,,,
1998.0932,68.23,,,
1998.121,24.18,,,
1998.1472,-8.51,,,
1998.1745,16.52,,,
1998.2016,-22.39,,,
1998.2287,-66.72,,,
1998.256,-2.32,,,
1998.2841,51.04,,,
1998.3102,52.71,,,
1998.3357,9.21,,,
1998.3643,14.89,,,
1998.4168,25.72,,,
1998.4466,3.32,,,
1998.4728,-46.85,,,
1998.5001,36.68,,,
1998.5275,19.31,,,
1998.5543,27.64,,,
1998.6084,14.03,,,
1998.636,20.71,,,
1998.6627,29.92,,,
1998.6902,9.69,,,
1998.7176,20.97,,,
1998.7445,-5.6,,,
1998.7719,49.91,,,
1998.8261,24.59,,,
1998.8527,20.91,,,
1998.8803,-13.19,,,
1998.91,-46.34,,,
1998.9345,-6.02,,,
1998.966,-51.95,,,
1998.9878,-13.16,,,
1999.0206,41.81,,,
1999.0431,-45.53,,,
1999.0971,-23.11,,,
1999.129,58.97,,,
1999.1517,-0.97,,,
1999.1789,-2.2,,,
1999.2062,46.28,,,
1999.2332,53.22,,,
1999.2605,13.56,,,
1999.2872,-31.7,,,
1999.3461,67.37,,,
1999.3695,-6.09,,,
1999.3951,-2.15,,,
1999.4279,22.99,,,
1999.4504,-15.93,,,
1999.4776,-13.77,,,
1999.5038,1.39,,,
1999.5319,7.5,,,
1999.5597,-0.92,,,
1999.5868,13.62,,,
1999.6133,60.62,,,
1999.6403,34.32,,,
1999.694,-13.66,,,
1999.722,24.55,,,
1999.7492,28.52,,,
1999.776,-51.02,,,
1999.8036,13.71,,,
1999.8295,36.19,,,
1999.8574,-21.81,,,
1999.8849,36.25,,,
1999.9118,-90.11,,,
1999.9662,42.33,,,
1999.9933,-38,,,
2000.0206,-38.99,,,
2000.0477,-40.09,,,
2000.0749,-3.75,,,
2000.1018,1.18,,,
2000.1291,31.61,,,
2000.1573,18.92,,,
2000.1834,-31.08,,,
2000.2106,-25.75,,,
2000.2381,-9.01,,,
2000.2922,117.32,,,
2000.3189,101.4,,,
2000.3466,35.78,,,
2000.3737,-13.99,,,
2000.4006,8.2,,,
2000.4273,-7.73,,,
2000.4548,-5.15,,,
2000.482,-29.93,,,
2000.5129,24.03,,,
2000.5362,34.79,,,
2000.5906,33.11,,,
2000.6178,-19.54,,,
2000.6445,-21.37,,,
2000.6722,4.04,,,
2000.6992,-11.22,,,
2000.7262,0.1,,,
2000.7543,2.51,,,
2000.7812,29.25,,,
2000.8079,-16.56,,,
2000.8624,67.96,,,
2000.8891,51.06,,,
2000.9161,68.42,,,
2000.9427,13.63,,,
2000.9706,-16.98,,,
2000.9979,157.8,,,
2001.0245,166.14,,,
2001.0793,89.68,,,
2001.1064,101.98,,,
2001.1336,-2.48,,,
2001.1609,50.15,,,
2001.1878,182.36,,,
2001.215,64.85,,,
2001.242,93.6,,,
2001.2695,15.47,,,
2001.2995,19.09,,,
2001.3235,24.88,,,
2001.3507,52.69,,,
2001.3781,83.68,,,
2001.405,2.54,,,
2001.4322,-2.17,,,
2001.4593,-8.86,,,
2001.4866,-2.21,,,
2001.5129,7.73,,,
2001.5408,39.62,,,
2001.5679,51.84,,,
2001.5948,40.99,,,
2001.6222,50.99,,,
2001.649,-5.88,,,
2001.6765,30.51,,,
2001.7037,46.66,,,
2001.7307,32.74,,,
2001.7584,50.17,,,
2001.7864,-28.53,,,
2001.8129,9.18,,,
2001.8396,-46.72,,,
2001.8665,21.54,,,
2001.8938,-69.21,,,
2001.9479,-65.59,,,
2001.9751,-97.5,,,
2002.0024,-38.5,,,
2002.0565,-36.93,,,
2002.0577,,-12.58,,
2002.0834,,36.07,,
2002.0841,32.79,,,
2002.1099,-6.66,,,
2002.1103,,-3.06,,
2002.1382,37.7,,,
2002.1393,,40.47,,
2002.1651,34.1,,,
2002.1653,,23.03,,
2002.1923,69.34,,,
2002.1938,,39.01,,
2002.2194,32.88,,,
