year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9598,-14.43,,,
1992.9857,13.03,,,
1993.0129,-40.26,,,
1993.042,-50.9,,,
1993.0671,-21.41,,,
1993.0962,-54.69,,,
1993.1215,-74.98,,,
1993.1509,-36.73,,,
1993.1757,-51.45,,,
1993.2029,6.5,,,
1993.2303,-21.05,,,
1993.284,-28.8,,,
1993.3116,-6.6,,,
1993.3383,-21.59,,,
1993.3654,-7.88,,,
1993.3936,-63.66,,,
1993.4207,-28.99,,,
1993.4468,1.16,,,
1993.4746,-20.66,,,
1993.4995,-11.46,,,
1993.5287,-9.16,,,
1993.5847,19.01,,,
1993.6117,39.41,,,
1993.637,64.64,,,
1993.664,25.91,,,
1993.6917,40.63,,,
1993.7171,-26.63,,,
1993.746,-40.16,,,
1993.7734,-27.55,,,
1993.8002,23.52,,,
1993.8545,-42.15,,,
1993.8817,67.48,,,
1993.9086,79.16,,,
1993.9358,6.17,,,
1993.9631,17.12,,,
1993.9899,76.19,,,
1994.0174,41.27,,,
1994.0445,10.61,,,
1994.0715,23.07,,,
1994.0984,43.55,,,
1994.126,29.02,,,
1994.1531,12.37,,,
1994.1803,37.39,,,
1994.2342,5.14,,,
1994.2616,30.14,,,
1994.2892,-7.44,,,
1994.3155,-62.89,,,
1994.3424,11.66,,,
1994.3707,-61.38,,,
1994.452,-85.23,,,
1994.5045,-36.89,,,
1994.5331,-42.97,,,
1994.5603,-95.08,,,
1994.5874,-46.51,,,
1994.6154,-20.48,,,
1994.6416,-49.54,,,
1994.6685,-33.08,,,
1994.6959,-77.07,,,
1994.7232,-54.3,,,
1994.7509,-62.05,,,
1994.7778,-37.39,,,
1994.8048,-93.26,,,
1994.9403,-33.84,,,
1994.9674,-72.34,,,
1994.9947,-67.3,,,
1995.0488,-98.19,,,
1995.076,-88.68,,,
1995.1033,-15.53,,,
1995.1307,-42.73,,,
1995.1577,8.92,,,
1995.2116,-6.18,,,
1995.2395,-7.9,,,
1995.2666,-21.1,,,
1995.2937,51.58,,,
1995.3204,3.99,,,
1995.3746,60.62,,,
1995.4018,14.92,,,
1995.4286,35.69,,,
1995.4557,-5.79,,,
1995.4831,22.59,,,
1995.5372,55.57,,,
1995.564,2.64,,,
1995.5918,50.51,,,
1995.6191,-0.1,,,
1995.6459,-16.59,,,
1995.6729,-2.07,,,
1995.6999,-15.16,,,
1995.7277,-19.91,,,
1995.7549,-0.01,,,
1995.7821,20.48,,,
1995.836,-1.21,,,
1995.8633,71.2,,,
1995.8913,159.87,,,
1995.9449,64.53,,,
1995.972,-11.49,,,
1995.9976,8.35,,,
1996.0265,-41.88,,,
1996.0502,-10.53,,,
1996.0807,-38.22,,,
1996.1077,-19.34,,,
1996.1615,-12.31,,,
1996.1887,-22.32,,,
1996.2163,-19.75,,,
1996.2435,-59.85,,,
1996.2708,0.03,,,
1996.2976,3.41,,,
1996.3252,68.02,,,
1996.3518,73.53,,,
1996.3788,34.38,,,
1996.4062,-18.26,,,
1996.434,-68.7,,,
1996.4881,-29.49,,,
1996.5158,-76.53,,,
1996.5424,34.51,,,
1996.5691,38.4,,,
1996.5965,15.12,,,
1996.6235,0.37,,,
1996.6509,61.44,,,
1996.6774,6.35,,,
1996.7057,51.13,,,
1996.732,65.04,,,
1996.7594,26.79,,,
1996.8129,83.71,,,
1996.8412,73.73,,,
1996.8679,110.96,,,
1996.8952,65.7,,,
1996.9221,62.33,,,
1996.9497,76.36,,,
1996.9766,58.86,,,
1997.0037,8.66,,,
1997.0304,2.12,,,
1997.0579,-17.37,,,
1997.0851,-13.49,,,
1997.1394,4.1,,,
1997.1665,-0.41,,,
1997.1929,42.45,,,
1997.2206,38.04,,,
1997.2476,-23.4,,,
1997.2751,-82.62,,,
1997.3024,-78.43,,,
1997.3293,-97.4,,,
1997.3565,-68.84,,,
1997.3839,100.2,,,
1997.4109,53.17,,,
1997.4651,-92.89,,,
1997.4914,-47.25,,,
1997.5746,-98.56,,,
1997.6277,-28.39,,,
1997.6554,-40.65,,,
1997.6825,-25.88,,,
1997.7104,-76.67,,,
1997.7371,-42.5,,,
1998.1167,-70.19,,,
1998.1436,-89.94,,,
1998.171,-51.11,,,
1998.1972,-54.8,,,
1998.2248,-61.06,,,
1998.2783,-67.42,,,
1998.3062,-63.62,,,
1998.3332,-60.37,,,
1998.3607,-95.24,,,
1998.4173,72.07,,,
1998.4429,104.35,,,
1998.4685,53.37,,,
1998.497,21.37,,,
1998.5244,-29.83,,,
1998.5513,32.26,,,
1998.6054,31.61,,,
1998.6321,11.34,,,
1998.6595,111.99,,,
1998.6865,41.89,,,
1998.7135,22.64,,,
1998.7403,38.1,,,
1998.7676,57.19,,,
1998.8226,22.65,,,
1998.85,51.74,,,
1998.877,100.49,,,
1998.9034,81.02,,,
1998.9313,34.82,,,
1998.9579,35.95,,,
1998.9853,47.11,,,
1999.0121,34.84,,,
1999.0398,75.82,,,
1999.0942,121.95,,,
1999.1257,94.32,,,
1999.1484,59.89,,,
1999.1756,45.57,,,
1999.2027,10.5,,,
1999.2301,-5.31,,,
1999.2567,35.66,,,
1999.2836,54.71,,,
1999.3383,57.81,,,
1999.3652,6.6,,,
1999.3919,0.39,,,
1999.4201,-4.02,,,
1999.4471,-57.31,,,
1999.4746,-80.86,,,
1999.5286,-64.49,,,
1999.5556,-73.11,,,
1999.582,26.12,,,
1999.6099,-7.4,,,
1999.6359,-47.59,,,
1999.6911,-62.29,,,
1999.7177,-59.38,,,
1999.7453,-56.14,,,
1999.7722,-14.89,,,
1999.8001,13.44,,,
1999.8272,59.47,,,
1999.854,89.04,,,
1999.883,47.03,,,
1999.9084,41.09,,,
1999.9624,44.71,,,
1999.9899,48.09,,,
2000.0171,43.31,,,
