year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9615,-24.85,,,
1992.987,-17.17,,,
1993.0128,-16.63,,,
1993.0413,-11.63,,,
1993.0663,-18.83,,,
1993.0976,-20.63,,,
1993.1213,-21.95,,,
1993.1498,-19.71,,,
1993.1768,-17.87,,,
1993.204,-14.96,,,
1993.2311,-26.8,,,
1993.2855,-18.24,,,
1993.3126,-18.6,,,
1993.3397,-18.32,,,
1993.3669,-8.27,,,
1993.394,-15.46,,,
1993.4212,-27.72,,,
1993.4484,-18.18,,,
1993.4755,-25.57,,,
1993.5024,-18.55,,,
1993.5297,-18.81,,,
1993.584,-18.29,,,
1993.6118,-23.72,,,
1993.6385,-14.99,,,
1993.6655,-17.88,,,
1993.6927,-15.75,,,
1993.7193,-12.59,,,
1993.747,-17.4,,,
1993.7742,-13.52,,,
1993.8012,-18.62,,,
1993.8556,-7.57,,,
1993.8828,-13.92,,,
1993.9101,-13.94,,,
1993.937,-12.25,,,
1993.9643,-12.97,,,
1993.9911,-7.76,,,
1994.0185,-17.59,,,
1994.0454,-22.39,,,
1994.0726,-30.47,,,
1994.0999,-22,,,
1994.127,-20.18,,,
1994.1542,-4.05,,,
1994.1812,-12.63,,,
1994.2356,-21.47,,,
1994.2628,-18.17,,,
1994.29,-16.79,,,
1994.3173,-12.53,,,
1994.3442,-9.96,,,
1994.3713,-7.82,,,
1994.3985,-2.45,,,
1994.4256,-12.96,,,
1994.4527,-12.5,,,
1994.507,-0.38,,,
1994.5342,-33.25,,,
1994.5615,-37.97,,,
1994.5886,-16.43,,,
1994.6158,-17.74,,,
1994.6429,-16.69,,,
1994.6701,-14.5,,,
1994.6972,-11.91,,,
1994.7243,-19.33,,,
1994.7513,-7.45,,,
1994.7784,-15.95,,,
1994.8058,-10.52,,,
1994.8328,-13.22,,,
1994.8872,-8.34,,,
1994.9144,-11.88,,,
1994.9416,-11.21,,,
1994.9688,-14.71,,,
1994.9959,-16.18,,,
1995.023,-13.17,,,
1995.0501,-24.5,,,
1995.0772,-24.05,,,
1995.1044,-18.64,,,
1995.1315,-7.57,,,
1995.1585,3.51,,,
1995.2129,-15.51,,,
1995.2402,-19.24,,,
1995.2673,-6.83,,,
1995.2945,-0.34,,,
1995.3214,-13.18,,,
1995.3759,1.92,,,
1995.4031,0.26,,,
1995.4301,-4.72,,,
1995.4573,-4.85,,,
1995.4843,-12.82,,,
1995.5388,-10.11,,,
1995.5659,-17.11,,,
1995.593,-12.66,,,
1995.6202,4.88,,,
1995.6474,-7.11,,,
1995.6742,-11.75,,,
1995.7017,-14.36,,,
1995.7288,-5.4,,,
1995.756,1.88,,,
1995.783,-6.57,,,
1995.8374,-14.66,,,
1995.8646,-8.6,,,
1995.8902,-6.44,,,
1995.946,4.71,,,
1995.9732,-0.27,,,
1996.0001,-15.86,,,
1996.0274,-13.66,,,
1996.0538,-16.5,,,
1996.0817,-5.14,,,
1996.1088,-7.9,,,
1996.1635,-3.21,,,
1996.1902,-3.96,,,
1996.2175,-10.48,,,
1996.2445,-11.81,,,
1996.2718,-5.19,,,
1996.299,-13.98,,,
1996.3261,-8.51,,,
1996.3532,-5.04,,,
1996.3803,8.26,,,
1996.4075,10.85,,,
1996.4345,-14.99,,,
1996.4889,-18.98,,,
1996.5161,-7.6,,,
1996.5432,4.32,,,
1996.5705,10.61,,,
1996.5976,-15.22,,,
1996.6249,-15.75,,,
1996.6518,-11.21,,,
1996.679,-16.48,,,
1996.7055,-13.82,,,
1996.7339,-10.3,,,
1996.7603,-0.04,,,
1996.8148,5.95,,,
1996.8419,-1.07,,,
1996.8691,1.61,,,
1996.8962,-11.32,,,
1996.9234,-16.1,,,
1996.9506,-13.23,,,
1996.9774,-17.24,,,
1997.0048,-14.4,,,
1997.032,0.55,,,
1997.0591,12.32,,,
1997.0861,-0.25,,,
1997.1406,-23.98,,,
1997.1675,-15.78,,,
1997.1948,0.58,,,
1997.2219,-4.26,,,
1997.2491,-21.38,,,
1997.2763,-19.64,,,
1997.3034,-11.73,,,
1997.3305,-4.35,,,
1997.3578,4.73,,,
1997.3847,4.69,,,
1997.4119,-5.36,,,
1997.4662,-13.17,,,
1997.4933,-9.85,,,
1997.5205,-13.18,,,
1997.5477,-7.27,,,
1997.5748,-14.16,,,
1997.6291,-19.91,,,
1997.6563,-3.22,,,
1997.6832,-0.23,,,
1997.7107,-0.63,,,
1997.7377,-10.77,,,
1997.7921,0.85,,,
1997.8192,-4.68,,,
1997.8464,1.74,,,
1997.8735,2.54,,,
1997.9006,-6.09,,,
1997.9278,-23.21,,,
1997.955,-18,,,
1997.9821,-13.17,,,
1998.0087,-7.12,,,
1998.0364,5.34,,,
1998.0907,-17.25,,,
1998.1178,-6.52,,,
1998.1449,-6.2,,,
1998.1722,0.78,,,
1998.1992,7.9,,,
1998.2265,-11.93,,,
1998.2536,-8.15,,,
1998.2795,-4.54,,,
1998.3078,-2.47,,,
1998.3349,0.51,,,
1998.362,11.47,,,
1998.4162,-15.99,,,
1998.4436,-20.57,,,
1998.4707,-3.46,,,
1998.4979,9.46,,,
1998.5251,18.42,,,
1998.5521,14.44,,,
1998.6065,-5.84,,,
