year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.96,148.87,,,
1992.9837,167.2,,,
1993.0105,-75.67,,,
1993.0393,-83,,,
1993.065,298.52,,,
1993.0951,420.58,,,
1993.1194,254.21,,,
1993.1489,142.86,,,
1993.1745,-15.8,,,
1993.2286,177.98,,,
1993.3374,-34.93,,,
1993.4451,-40.21,,,
1993.4716,39.94,,,
1993.4946,107.27,,,
1993.5269,119.91,,,
1993.5813,70.78,,,
1993.6087,36.61,,,
1993.6354,61.81,,,
1993.662,76.73,,,
1993.6892,-47.67,,,
1993.8797,-97.73,,,
1993.988,-55.25,,,
1994.0696,-10.21,,,
1994.0954,180.79,,,
1994.1239,-62.54,,,
1994.2326,91.14,,,
1994.2601,79.02,,,
1994.2868,14.28,,,
1994.3142,-42.03,,,
1994.3403,46.38,,,
1994.4221,-9.3,,,
1994.4498,106.48,,,
1994.497,124.92,,,
1994.5311,4.98,,,
1994.5585,-97.98,,,
1994.6391,-94.83,,,
1994.6669,-63.5,,,
1994.7213,-26.06,,,
1994.7483,4.66,,,
1994.7757,208.66,,,
1994.8028,67.68,,,
1994.8296,-33.38,,,
1994.8835,-60.98,,,
1994.9112,218.06,,,
1994.9383,126.89,,,
1994.9653,223.47,,,
1994.9927,101.7,,,
1995.0202,148.97,,,
1995.047,65.78,,,
1995.0741,-61.96,,,
1995.1014,69.9,,,
1995.129,123.28,,,
1995.1559,175.55,,,
1995.2104,-38.56,,,
1995.2373,153.34,,,
1995.2646,354.93,,,
1995.2919,284.75,,,
1995.319,144.48,,,
1995.3746,38.1,,,
1995.3999,102.87,,,
1995.4274,0.04,,,
1995.4561,-72.03,,,
1995.4818,27.77,,,
1995.5356,-46.47,,,
1995.5616,32.5,,,
1995.5905,-66.44,,,
1995.617,-59.08,,,
1995.6712,-73.86,,,
1995.7526,9.7,,,
1995.7799,123.35,,,
1995.8344,199.9,,,
1995.8612,106.77,,,
1995.8882,57,,,
1996.27,-70.09,,,
1996.3495,4.66,,,
1996.3771,-45.94,,,
1996.4051,-67.45,,,
1996.4339,15.74,,,
1996.486,4.75,,,
1996.5131,-29.98,,,
1996.5397,166.16,,,
1996.5673,45.6,,,
1996.5942,33.32,,,
1996.8117,0.14,,,
1996.839,-14.15,,,
1996.866,224.04,,,
1996.8934,109.46,,,
1996.9202,17.67,,,
1996.9474,-71.88,,,
1996.9742,-89.83,,,
1997.0565,-64.62,,,
1997.0834,-29.68,,,
1997.1378,16.4,,,
1997.1652,182.31,,,
1997.1922,292.31,,,
1997.2184,57.9,,,
1997.2465,8.01,,,
1997.2734,232.57,,,
1997.3006,183.77,,,
1997.3273,121.04,,,
1997.3542,100.26,,,
1997.3837,37.89,,,
1997.4098,30.19,,,
1997.4881,-97.06,,,
1997.5177,-77.87,,,
1997.6806,-75.47,,,
1997.7074,206.9,,,
1997.7345,290.57,,,
1997.7888,211.97,,,
1997.816,252.78,,,
1997.8452,125.51,,,
1997.8705,12.96,,,
1997.9516,-87.31,,,
1998.0334,-31.36,,,
1998.0881,-69.37,,,
1998.1151,71.24,,,
1998.1422,155.53,,,
1998.1691,222.6,,,
1998.1966,258.86,,,
1998.2235,225.76,,,
1998.2506,-35.11,,,
1998.3593,62.18,,,
1998.4142,-45.36,,,
1998.4677,76.86,,,
1998.4957,3.63,,,
1998.5223,43.32,,,
1998.5488,158.75,,,
1998.604,155.73,,,
1998.6311,61.65,,,
1998.6575,236.07,,,
1998.685,1.58,,,
1998.7121,28.48,,,
1998.7392,31.77,,,
1998.8206,81.39,,,
1998.848,289.05,,,
1998.8749,243.9,,,
1998.9022,71.97,,,
1998.9293,-62.68,,,
1998.9564,-82.17,,,
1998.9829,46.8,,,
1999.0116,-1.78,,,
1999.0379,-66.18,,,
1999.0921,17.42,,,
1999.1235,-11.7,,,
1999.1466,27.8,,,
1999.1733,46.65,,,
1999.203,-58.03,,,
1999.2279,-90.62,,,
1999.256,-31.56,,,
1999.2822,-20.25,,,
1999.3361,98.56,,,
1999.3642,-59.75,,,
1999.3915,-75.5,,,
1999.418,-32.18,,,
1999.4447,-25.19,,,
1999.4719,4.58,,,
1999.4998,-35.15,,,
1999.5263,-51.14,,,
1999.5538,-14.73,,,
1999.5806,33.36,,,
1999.6352,-58.8,,,
1999.689,11.56,,,
1999.7713,140.13,,,
1999.7978,200.18,,,
1999.8251,-33.63,,,
1999.852,173.1,,,
1999.8793,36.42,,,
1999.9067,-53.35,,,
1999.9606,174.12,,,
1999.9876,158.05,,,
2000.0155,146.57,,,
2000.0421,202.21,,,
2000.0695,28.08,,,
2000.097,139.4,,,
2000.1236,298.07,,,
2000.1517,162.68,,,
2000.1783,234.45,,,
2000.2054,331.33,,,
2000.2328,127.84,,,
2000.2867,-96.08,,,
2000.3143,-12.99,,,
2000.3421,-38.72,,,
2000.3955,-56.79,,,
2000.4221,94.8,,,
2000.4492,116.56,,,
2000.4765,85.93,,,
2000.5033,86,,,
2000.5303,27.77,,,
2000.5871,15.41,,,
2000.6121,40.56,,,
2000.6395,50.49,,,
2000.666,17.29,,,
2000.6938,-3.02,,,
2000.7204,-88.01,,,
2000.8845,-89.78,,,
2000.9374,-56.4,,,
2000.9652,86.83,,,
2001.0196,-90.35,,,
2001.1551,-87.64,,,
2001.2915,-54.3,,,
2001.3181,-86.04,,,
2001.3447,8.62,,,
2001.3725,-59.61,,,
2001.3992,46.61,,,
2001.4269,87.68,,,
2001.4539,142.97,,,
2001.481,95.76,,,
2001.5078,11.26,,,
2001.5352,-68.79,,,
2001.5626,-38.25,,,
2001.59,-3.27,,,
2001.6171,62.61,,,
2001.6451,40.64,,,
2001.6722,-16.7,,,
2001.6984,132.59,,,
