year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9621,-7.65,,,
1992.9874,-32.72,,,
1993.0133,-16.94,,,
1993.0404,-40.67,,,
1993.0654,-55.17,,,
1993.0976,-1.84,,,
1993.122,5,,,
1993.1499,-3.99,,,
1993.177,4.31,,,
1993.2042,11.06,,,
1993.2306,-4.35,,,
1993.2856,-2.53,,,
1993.3133,8.34,,,
1993.3398,-2.7,,,
1993.3668,20.12,,,
1993.3944,5.48,,,
1993.4221,1.33,,,
1993.4483,3.4,,,
1993.4754,19.09,,,
1993.5015,5.34,,,
1993.5298,-4.44,,,
1993.5827,21.79,,,
1993.6121,-11.28,,,
1993.6382,-10.76,,,
1993.6657,12.77,,,
1993.6925,-4.85,,,
1993.7195,-10.1,,,
1993.7466,-16.86,,,
1993.7737,-2.09,,,
1993.8013,4.12,,,
1993.8553,14.54,,,
1993.8826,-10.65,,,
1993.9102,-56.81,,,
1993.9363,-57.31,,,
1993.9637,-27.33,,,
1993.9913,6.57,,,
1994.0185,5.47,,,
1994.0453,-22.05,,,
1994.0718,-31.27,,,
1994.1001,-0.43,,,
1994.1265,-24.15,,,
1994.1537,-3.99,,,
1994.1806,5.28,,,
1994.2361,-29.93,,,
1994.2625,2.94,,,
1994.2901,-7.45,,,
1994.3171,-13.43,,,
1994.3446,-2.51,,,
1994.371,-0.25,,,
1994.3991,-23.81,,,
1994.4262,-5.38,,,
1994.4529,14.8,,,
1994.5064,-19.65,,,
1994.5345,-10.71,,,
1994.561,-8.3,,,
1994.5886,-23.64,,,
1994.6156,1.56,,,
1994.6427,-6.92,,,
1994.6697,-0.6,,,
1994.697,-18.93,,,
1994.724,-20.87,,,
1994.7508,-0.42,,,
1994.7785,14.71,,,
1994.8057,17.91,,,
1994.8324,-23.65,,,
1994.8863,-35.69,,,
1994.9148,-30.9,,,
1994.9416,-40.13,,,
1994.9681,-20.77,,,
1994.9963,-11.6,,,
1995.0217,-7.49,,,
1995.0497,-5.64,,,
1995.0766,19.6,,,
1995.1052,36.51,,,
1995.1307,29.87,,,
1995.16,25.31,,,
1995.2136,11.08,,,
1995.24,7.69,,,
1995.268,12.58,,,
1995.2949,17.38,,,
1995.3221,32.7,,,
1995.3767,13.47,,,
1995.4035,4.44,,,
1995.4302,9.43,,,
1995.4573,21.74,,,
1995.4844,25.05,,,
1995.5389,2.51,,,
1995.5654,-5.96,,,
1995.5933,-27.88,,,
1995.6202,13.39,,,
1995.6468,7.35,,,
1995.6744,11.1,,,
1995.7015,22.82,,,
1995.7287,42.4,,,
1995.7556,3.8,,,
1995.7829,-16.95,,,
1995.8375,27.89,,,
1995.8643,21.91,,,
1995.8895,32.03,,,
1995.9454,83.92,,,
1995.9727,30,,,
1996.0001,71.41,,,
1996.0262,50.93,,,
1996.0536,52.35,,,
1996.0816,45.52,,,
1996.1089,50.4,,,
1996.1635,26.26,,,
1996.19,42.04,,,
1996.2179,44.26,,,
1996.2447,35.37,,,
1996.2707,36.13,,,
1996.2992,17.27,,,
1996.3267,59,,,
1996.3533,79.65,,,
1996.3806,29.57,,,
1996.4073,35.79,,,
1996.4346,34.82,,,
1996.4896,1.52,,,
1996.5155,21.51,,,
1996.5433,21.36,,,
1996.5703,21.84,,,
1996.5974,22.27,,,
1996.6248,7.06,,,
1996.6517,8.18,,,
1996.679,21.32,,,
1996.7048,19.46,,,
1996.7339,47.04,,,
1996.7603,57.2,,,
1996.8139,44.18,,,
1996.8415,33.92,,,
1996.8685,57.45,,,
1996.8959,67.57,,,
1996.9223,32.15,,,
1996.95,7.48,,,
1996.9775,107.29,,,
1997.0042,90.43,,,
1997.0324,72.35,,,
1997.0587,61.26,,,
1997.0859,78.29,,,
1997.14,64.57,,,
1997.1681,67.8,,,
1997.195,58.4,,,
1997.2222,63.12,,,
1997.2496,69.32,,,
1997.2766,58.2,,,
1997.3035,52.01,,,
1997.331,66.48,,,
1997.3583,81.48,,,
1997.3848,56.29,,,
1997.412,55.12,,,
1997.466,28.05,,,
1997.4921,32.38,,,
1997.5201,36.87,,,
1997.5474,53.1,,,
1997.5744,48.59,,,
1997.6291,51.78,,,
1997.6562,21.13,,,
1997.6834,50.26,,,
1997.7106,66.18,,,
1997.7375,58.49,,,
1997.7919,96.24,,,
1997.8191,93.01,,,
1997.8463,57.09,,,
1997.8733,61.61,,,
1997.8988,3.06,,,
1997.9275,-9.25,,,
1997.9543,42.14,,,
1997.9817,44.47,,,
1998.0079,45.86,,,
1998.0357,38.24,,,
1998.0905,29.11,,,
1998.1177,35,,,
1998.1447,33.8,,,
1998.1722,44.25,,,
1998.1992,48.83,,,
1998.2258,26.87,,,
1998.253,1.82,,,
1998.2803,-16.97,,,
1998.3083,41.11,,,
1998.3351,20.64,,,
1998.3625,-6.42,,,
1998.4168,12.7,,,
1998.4433,5,,,
1998.4705,-4.43,,,
1998.4982,-10.54,,,
1998.5247,-6.55,,,
1998.5522,5.15,,,
1998.6061,23.05,,,
1998.6334,13.04,,,
1998.6605,-15.99,,,
1998.688,3.65,,,
1998.7146,1.33,,,
1998.7421,7.67,,,
1998.7684,6.14,,,
1998.8234,-4.67,,,
1998.8504,29.39,,,
1998.8778,2.63,,,
1998.9037,-52.69,,,
1998.932,-22.18,,,
1998.9597,43.61,,,
1998.9862,41.66,,,
1999.0127,20.03,,,
1999.0408,7.35,,,
1999.0949,-30.57,,,
1999.1257,-26.16,,,
1999.1494,-5.87,,,
1999.1764,-18.09,,,
1999.203,-31.21,,,
1999.2311,-37.39,,,
1999.2581,-41.48,,,
1999.2848,-45.44,,,
1999.3402,-21.64,,,
1999.3671,-14.72,,,
1999.3937,-22.87,,,
1999.421,-23.41,,,
1999.4476,-38.22,,,
1999.4751,-13.73,,,
1999.5028,-9.28,,,
1999.5295,-29.48,,,
1999.5575,-28.04,,,
1999.5835,-34.5,,,
1999.6108,-14.22,,,
1999.6382,-15.76,,,
1999.6926,-14.44,,,
1999.7195,-15.8,,,
1999.7464,-29.88,,,
1999.7738,-44.38,,,
1999.801,-13.21,,,
1999.8281,-38.33,,,
1999.8548,-47.4,,,
1999.8824,-29.86,,,
1999.9084,-29.56,,,
1999.9634,-5.54,,,
1999.9908,18.06,,,
2000.0178,3.34,,,
2000.046,-25.6,,,
2000.0719,-64.96,,,
2000.1005,-62.38,,,
2000.1264,-38.66,,,
2000.153,-66.8,,,
2000.1812,-38.53,,,
2000.2076,-18.45,,,
2000.2343,-37.03,,,
2000.2905,-35.65,,,
2000.3167,-41.11,,,
2000.3441,-30.65,,,
2000.3709,-28.14,,,
2000.3986,-24.1,,,
2000.4254,-42.98,,,
2000.4527,-31.45,,,
2000.4793,-0.13,,,
2000.5068,-12.14,,,
2000.5342,-34.65,,,
2000.5881,-11.39,,,
2000.6145,-21.2,,,
2000.6423,-24.72,,,
2000.6702,-35.27,,,
2000.6969,-38.54,,,
2000.724,-6.37,,,
2000.7511,-10.58,,,
2000.7784,-26.2,,,
2000.8053,-47.34,,,
2000.8597,-32.98,,,
2000.8854,-80.43,,,
2000.914,-28.92,,,
2000.9414,-23.93,,,
2000.9682,-46.67,,,
2000.9952,-34.03,,,
2001.022,-37.48,,,
2001.0765,-61.31,,,
2001.1036,-40.49,,,
2001.1312,-37.35,,,
2001.1573,-57.92,,,
2001.1852,-63.1,,,
2001.2125,-47.37,,,
2001.2395,-38.26,,,
2001.2669,-49.29,,,
2001.2947,-73.02,,,
2001.3212,-76.35,,,
2001.349,-60.51,,,
2001.3758,-19.47,,,
2001.4023,-30.7,,,
2001.4297,-44.14,,,
2001.4564,-22.52,,,
2001.484,-13.65,,,
2001.5114,-54.04,,,
2001.5381,-35.03,,,
2001.5654,-30.36,,,
2001.5922,-30.38,,,
2001.6195,-32.49,,,
2001.6472,-69.14,,,
2001.674,-44.33,,,
2001.7009,-12.54,,,
2001.7286,-32.82,,,
2001.7559,-28.36,,,
2001.7825,-35,,,
2001.8098,-68.75,,,
2001.8364,-74.1,,,
2001.8638,-59.62,,,
2001.892,-9.97,,,
2001.917,-1.95,,,
2001.9453,-44.28,,,
2001.9722,-72.3,,,
2001.9997,-32.3,,,
2002.0273,-19.92,,,
2002.053,,-38.97,,
2002.0546,-37.47,,,
2002.0815,-76.59,,,
2002.0816,,-79.2,,
2002.1076,,-52.12,,
2002.1084,-42.27,,,
2002.1345,,-40.57,,
2002.1361,-41.22,,,
2002.1627,,-31.16,,
2002.1633,-30.67,,,
2002.1903,,-44.01,,
2002.1909,-33.72,,,
2002.2171,,-32.61,,
2002.2177,-21.07,,,
2002.2428,,-12.06,,
2002.244,-17.4,,,
2002.2712,,-9.69,,
2002.2713,-24.24,,,
2002.2979,,-27.57,,
2002.299,-38.83,,,
2002.3257,,-43.89,,
2002.3261,-42.45,,,
2002.3524,,-54.6,,
2002.3528,-45.08,,,
2002.3797,,-27.27,,
2002.38,-14.82,,,
2002.4066,,-38.6,,
2002.4073,-37.81,,,
2002.4338,,-26.51,,
2002.4344,-23.22,,,
2002.4607,,-26.7,,
2002.4613,-23.61,,,
2002.488,,-13.11,,
2002.4888,-5.48,,,
2002.5149,,-2.51,,
2002.5428,,0.66,,
2002.5429,3.74,,,
2002.5697,,-9.07,,
2002.5701,-11.53,,,
2002.5959,,-33.09,,
2002.5966,-39.76,,,
2002.6241,,-23.85,,
2002.6246,-25.23,,,
2002.6509,,-30.99,,
2002.6547,-34.03,,,
2002.6779,,-5.55,,
2002.6783,-7.03,,,
2002.7052,,-12.35,,
2002.7063,-11.08,,,
2002.7323,,4.14,,
2002.7328,1.4,,,
2002.7595,-22.6,,,
2002.7597,,-17.53,,
2002.7861,-26.26,,,
2002.7865,,-27.84,,
2002.8139,,-17.12,,
2002.8153,-10.98,,,
2002.8408,,-25.24,,
2002.8417,-12.87,,,
2002.8679,,-25.56,,
2002.8684,-17.26,,,
2002.8942,,-19.11,,
2002.8958,-11.74,,,
2002.9227,,38.36,,
2002.9228,39.16,,,
2002.9494,,18.51,,
2002.9496,25.08,,,
2002.9754,,15.64,,
2002.9764,16.37,,,
2003.0035,,-8.27,,
2003.0039,-2.58,,,
2003.0315,20.1,,,
2003.0316,,21.65,,
2003.058,,30.78,,
2003.0583,36.03,,,
2003.085,,25.69,,
2003.0856,25.76,,,
2003.1124,,-8.49,,
2003.1126,3.99,,,
2003.1399,-31.04,-39.84,,
2003.1673,,3.52,,
2003.1674,10.09,,,
2003.1933,,-24.28,,
2003.1936,-12.81,,,
2003.2209,-17.25,-16.06,,
2003.2488,,7.92,,
2003.2492,10.99,,,
2003.2758,-6.24,,,
2003.2804,,-8.21,,
2003.303,,-19.94,,
2003.3031,-28.48,,,
2003.33,,-14.74,,
2003.3307,-10.79,,,
2003.3571,,-26.09,,
2003.3573,-10.18,,,
2003.3841,,-6.26,,
2003.3845,-5.95,,,
2003.411,,-7.17,,
2003.4111,-6.37,,,
2003.4381,,8.96,,
2003.4391,13.88,,,
2003.465,,-25.14,,
2003.4653,-22.16,,,
2003.4927,,-15.98,,
2003.4931,-6.27,,,
2003.5199,,-1.97,,
2003.5201,-1.63,,,
2003.5467,,10.85,,
2003.5472,4.74,,,
2003.5731,,21.72,,
2003.5742,-0.08,,,
2003.6014,4.27,10.38,,
2003.6281,,-5.24,,
2003.6284,-13.01,,,
2003.655,,-11.97,,
2003.6559,-7.48,,,
2003.6829,,29.22,,
2003.6831,20.04,,,
2003.7099,33.11,,,
2003.7101,,38.43,,
2003.7369,,21.83,,
2003.7372,18.15,,,
2003.7639,,-1.31,,
2003.7642,-7.5,,,
2003.7911,,20.56,,
2003.7914,25.58,,,
2003.8184,,39.56,,
2003.8185,47.65,,,
2003.8454,,59.53,,
2003.8459,62.26,,,
2003.8701,,10.71,,
2003.8726,14.37,,,
2003.9003,4.81,,,
2003.912,,-24.01,,
2003.9268,,-57.81,,
2003.9272,-52.46,,,
2003.9533,,-15.36,,
2003.9538,-2.97,,,
2003.9811,23.85,,,
2003.9815,,14.78,,
2004.0083,,29.86,,
2004.0089,26.59,,,
2004.0355,,25.57,,
2004.036,28.56,,,
2004.063,,15.36,,
2004.0633,15.85,,,
2004.0893,-29.73,,,
2004.0898,,-28.39,,
2004.1138,,-38.74,,
2004.1175,-11.63,,,
2004.1438,14.26,,,
2004.1495,,12.8,,
2004.1711,,4.44,,
2004.1715,-2.56,,,
2004.1985,,-18.08,,
2004.1989,-19.32,,,
2004.2257,,-12.6,,
2004.2259,-10.12,,,
2004.2509,,-4.79,,
2004.2533,-6.36,,,
2004.2808,-0.05,,,
2004.2814,,16.81,,
2004.3069,,-2.01,,
2004.3078,0.72,,,
2004.3343,,25.67,,
2004.3344,31.8,,,
2004.3614,,20.54,,
2004.3618,24.28,,,
2004.388,9.37,,,
2004.3882,,2.39,,
2004.4154,,-1.46,,
2004.4428,,-0.7,,
2004.4701,,7.1,,
2004.4728,23.67,,,
2004.4971,,4.95,,
2004.4972,-4.3,,,
2004.5223,13.38,,,
2004.5233,,15.26,,
2004.55,-11.06,,,
2004.5517,,-7.42,,
2004.5764,-14.06,,,
2004.5783,,-0.07,,
2004.6054,,6.28,,
2004.6062,7.54,,,
2004.6328,,12.51,,
2004.6337,8.74,,,
2004.6599,18.98,,,
2004.66,,22.34,,
2004.6871,,6.84,,
2004.6877,4.92,,,
2004.7141,-22.53,,,
2004.7144,,-19.04,,
2004.7413,,-34.4,,
2004.7423,-34.01,,,
2004.7683,,-22.47,,
2004.7686,-15.84,,,
2004.7955,,22.42,,
2004.7959,13.4,,,
2004.8231,-36.7,,,
2004.8236,,-39.92,,
2004.8496,,-71.45,,
2004.8505,-75.4,,,
2004.877,,-43.38,,
2004.8774,-38.89,,,
2004.904,,-41.78,,
2004.9044,-51.47,,,
2004.9313,,-79.19,,
2004.9316,-76.78,,,
2004.9537,-63.27,,,
2004.9579,,-38.12,,
2004.9865,,3.01,,
2004.9872,10.88,,,
2005.0127,1.33,,,
2005.0129,,3.11,,
2005.0395,,-18.09,,
2005.0402,-31.29,,,
2005.0674,,-7.2,,
2005.0676,-3.37,,,
2005.0936,-2.63,,,
2005.094,,-16.04,,
2005.1214,-2.58,,,
2005.1215,,-16.27,,
2005.1487,-37.78,,,
2005.1494,,-30.82,,
2005.1756,,-23.11,,
2005.1758,-39.18,,,
2005.2034,,20.94,,
2005.2037,12.29,,,
2005.2296,,-1.39,,
2005.2298,-12.64,,,
2005.2571,,-33.39,,
2005.2572,-34.24,,,
2005.2848,,-8.65,,
2005.285,-0.04,,,
2005.3115,11.9,,,
2005.3125,,13.67,,
2005.339,,16.58,,
2005.3401,5.57,,,
2005.3657,-0.11,,,
2005.3661,,-0.04,,
2005.3933,,20.77,,
2005.3942,29.82,,,
2005.4197,12.3,,,
2005.4204,,2.57,,
2005.4475,,-27.96,,
2005.4477,-26.64,,,
2005.474,-23.85,-18.11,,
2005.5019,,-3.09,,
2005.5026,-19.93,,,
2005.5284,,-8.16,,
2005.5292,-19.71,,,
2005.5556,,-10.85,,
2005.5561,-19.81,,,
2005.5828,0.68,,,
2005.5829,,6.76,,
2005.6095,,29.72,,
2005.6112,27.96,,,
2005.637,-9.56,,,
2005.6373,,-10.6,,
2005.6643,,4.24,,
2005.6644,9.1,,,
2005.6911,-0.68,,,
2005.6915,,13.7,,
2005.7134,,-4.06,,
2005.7193,-22.83,,,
2005.7458,-22.46,,,
2005.7509,,-23.25,,
2005.7659,-17.58,,,
2005.7728,,-13.02,,
2005.8,,-30.32,,
2005.8274,,-2.34,,
2005.8543,,-25.22,,
2005.8811,,16.53,,
2005.9082,,27.86,,
2005.9355,,11.33,,
2005.9633,,-4.26,,
2005.9898,,0.71,,
2006.0171,,22.95,,
2006.0444,,23.46,,
2006.0718,,2.36,,
2006.0994,,-7.28,,
2006.1266,,20.36,,
2006.153,,8.17,,
2006.18,,-34.29,,
2006.2076,,-23.97,,
2006.2347,,6.44,,
2006.2616,,-5.59,,
2006.2886,,-29.24,,
2006.316,,-1.06,,
2006.3435,,-3.43,,
2006.3703,,9.12,,
2006.3969,,6.88,,
2006.425,,-1.11,,
2006.4525,,-2.32,,
2006.4796,,17.41,,
