year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9606,-6.81,,,
1992.9866,-2.99,,,
1993.0119,-2.61,,,
1993.04,16.93,,,
1993.0662,15.65,,,
1993.097,33.36,,,
1993.1209,9.1,,,
1993.1487,29.75,,,
1993.1766,-3.69,,,
1993.204,-37.22,,,
1993.231,-26.89,,,
1993.285,-0.73,,,
1993.3124,-28.19,,,
1993.3396,-27.42,,,
1993.3665,-12.73,,,
1993.3936,-5.47,,,
1993.4207,-19.26,,,
1993.4484,11.83,,,
1993.476,15.33,,,
1993.5011,0.55,,,
1993.5297,8.37,,,
1993.5841,5.58,,,
1993.6125,-20.68,,,
1993.6383,-10.96,,,
1993.6653,-21.9,,,
1993.6925,-27.14,,,
1993.7193,5.2,,,
1993.7469,11.29,,,
1993.7741,-2.09,,,
1993.8008,6.51,,,
1993.8552,12.55,,,
1993.8828,-17.88,,,
1993.9095,-19.37,,,
1993.9369,-3.45,,,
1993.9637,-6.26,,,
1993.9911,-21.81,,,
1994.0178,-24.92,,,
1994.045,-26.46,,,
1994.0722,-46.48,,,
1994.0995,-21.36,,,
1994.1273,8.63,,,
1994.1536,18.2,,,
1994.1808,-27.56,,,
1994.2352,-46.28,,,
1994.2626,-13.56,,,
1994.2895,-16.2,,,
1994.3169,-16.94,,,
1994.3436,-34.44,,,
1994.3709,-23.08,,,
1994.3978,9.04,,,
1994.4254,-5.86,,,
1994.4524,-27.3,,,
1994.5058,-7.46,,,
1994.5335,-23.46,,,
1994.5611,-48.3,,,
1994.5878,-18.15,,,
1994.6157,-16.58,,,
1994.6427,-31.53,,,
1994.6699,-22.3,,,
1994.6968,-23.12,,,
1994.7239,-45.71,,,
1994.7516,-42.08,,,
1994.7784,-38.57,,,
1994.8057,-13.79,,,
1994.833,-21.08,,,
1994.8867,-3.86,,,
1994.9138,15.18,,,
1994.9411,-1.92,,,
1994.9685,1.28,,,
1994.9951,-9.5,,,
1995.0229,-10.65,,,
1995.0495,-28.71,,,
1995.0769,-36.39,,,
1995.1042,-41.03,,,
1995.131,-27.06,,,
1995.1586,-15.62,,,
1995.2129,-6.47,,,
1995.2398,-4.75,,,
1995.2672,14.77,,,
1995.2939,-1.35,,,
1995.3212,-31.34,,,
1995.3757,14.41,,,
1995.4029,1.99,,,
1995.4299,15.18,,,
1995.4569,-12.04,,,
1995.484,1.56,,,
1995.5385,4.06,,,
1995.5656,0.01,,,
1995.5927,26.22,,,
1995.62,16.95,,,
1995.6468,21.11,,,
1995.674,1.58,,,
1995.7013,1.89,,,
1995.7292,1.74,,,
1995.7553,36.28,,,
1995.7823,9.91,,,
1995.8369,-4.92,,,
1995.8643,-8.14,,,
1995.8915,-20.38,,,
1995.9457,-9.47,,,
1995.9726,-28.15,,,
1995.9998,-37.99,,,
1996.0273,-40.65,,,
1996.0535,-0.79,,,
1996.0806,4.78,,,
1996.1084,-24.05,,,
1996.1627,-39.19,,,
1996.1898,-20.5,,,
1996.217,-45.15,,,
1996.2453,-47.61,,,
1996.2716,-48.96,,,
1996.2984,-69.92,,,
1996.3259,-60.32,,,
1996.3528,-40.77,,,
1996.3799,-35.9,,,
1996.4071,-23.1,,,
1996.4342,-53.06,,,
1996.4887,-73.65,,,
1996.5158,-52.21,,,
1996.5439,-13.18,,,
1996.5702,-10.64,,,
1996.5975,-34.69,,,
1996.6245,-47.28,,,
1996.6515,-43.43,,,
1996.6785,-55.63,,,
1996.7064,-61.47,,,
1996.7328,-37.49,,,
1996.7601,13.55,,,
1996.8146,-26.67,,,
1996.8417,4.27,,,
1996.869,12.69,,,
1996.8959,-4.04,,,
1996.9229,-24.18,,,
1996.95,-26.67,,,
1996.978,-36.53,,,
1997.0049,-29.32,,,
1997.0317,4.8,,,
1997.0587,8.17,,,
1997.0862,4.54,,,
1997.1405,-24.1,,,
1997.1672,-2.23,,,
1997.1945,23.34,,,
1997.2219,5.63,,,
1997.2485,-13.98,,,
1997.2761,1.38,,,
1997.303,-4.9,,,
1997.3307,-3.7,,,
1997.3578,1.66,,,
1997.3847,-18.7,,,
1997.4118,-25.98,,,
1997.466,8.32,,,
1997.4926,6.09,,,
1997.5204,-5.28,,,
1997.5475,3.68,,,
1997.5749,4.47,,,
1997.6291,-10.45,,,
1997.6562,-5.44,,,
1997.6831,-10.73,,,
1997.71,-3.55,,,
1997.7373,-23.58,,,
1997.7919,1.21,,,
1997.8191,-9.57,,,
1997.846,-43.31,,,
1997.8731,-30.17,,,
1997.9001,-7.06,,,
1997.9277,-58.59,,,
1997.9544,-73.92,,,
1997.9816,-56.46,,,
1998.0077,-51.08,,,
1998.0354,-29.19,,,
1998.0911,14.45,,,
1998.1174,11.49,,,
1998.1448,4.36,,,
1998.1717,33.98,,,
1998.199,39.46,,,
1998.2263,-8.14,,,
1998.2533,-31.14,,,
1998.279,-1.78,,,
1998.3078,-4.52,,,
1998.3348,-16.75,,,
1998.3621,24.92,,,
1998.415,8.89,,,
1998.4421,-0.35,,,
1998.4702,17.5,,,
1998.4972,-17.75,,,
1998.5245,-5.84,,,
1998.5522,-14.1,,,
1998.6063,-30.27,,,
1998.6332,-22.74,,,
1998.6601,10.52,,,
1998.6879,14.86,,,
1998.7143,6.86,,,
1998.7413,-10.35,,,
1998.7689,-28.83,,,
1998.8238,25.15,,,
1998.8511,7.45,,,
1998.8777,-48.06,,,
1998.9053,-53.74,,,
1998.9322,-45.83,,,
1998.9592,-1.76,,,
1998.986,3.2,,,
1999.0126,5.11,,,
1999.0406,-2.84,,,
1999.0949,46.34,,,
1999.1264,57.45,,,
1999.1487,42.55,,,
1999.1767,7.01,,,
1999.2039,16.19,,,
1999.2308,-16.76,,,
1999.2578,-2.67,,,
1999.2841,25.14,,,
1999.339,36.89,,,
1999.3664,3.28,,,
1999.3937,6.11,,,
1999.4205,24.07,,,
1999.4475,17.09,,,
1999.4754,6.95,,,
1999.502,15.74,,,
1999.5289,6.09,,,
1999.5565,-9.29,,,
1999.5836,1.74,,,
1999.6109,20.76,,,
1999.6382,10.97,,,
1999.6922,7.64,,,
1999.7195,20.87,,,
1999.746,48.68,,,
1999.7736,35.51,,,
1999.8016,13.92,,,
1999.8278,16.7,,,
1999.855,19.68,,,
1999.8823,0.71,,,
1999.9095,30.83,,,
1999.9633,26.63,,,
1999.9911,-18.81,,,
2000.0181,15.22,,,
2000.0451,20.78,,,
2000.0722,17.52,,,
2000.0999,1.81,,,
2000.1265,24.26,,,
2000.1537,28.6,,,
2000.1809,15.73,,,
2000.2075,5.04,,,
2000.235,14.16,,,
2000.2894,33.32,,,
2000.3165,34.34,,,
2000.3436,13.06,,,
2000.371,17.2,,,
2000.3977,35.95,,,
2000.4248,30.04,,,
2000.4523,31.21,,,
