year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9612,3.61,,,
1992.9855,-33.45,,,
1993.0117,-87.39,,,
1993.0405,-35.5,,,
1993.0659,-61.98,,,
1993.0977,-21.07,,,
1993.1495,-70.66,,,
1993.1762,12.01,,,
1993.2029,-1.9,,,
1993.2302,-61.34,,,
1993.2845,-27.34,,,
1993.3113,-17.05,,,
1993.3388,1.07,,,
1993.3665,-0.44,,,
1993.3934,7.01,,,
1993.4201,-3.73,,,
1993.4482,-12.07,,,
1993.4744,-22.22,,,
1993.4998,-20.67,,,
1993.5283,-35.06,,,
1993.5828,-26.82,,,
1993.6105,-42.81,,,
1993.6373,-23.71,,,
1993.6643,4.34,,,
1993.6914,-10.71,,,
1993.7181,12.55,,,
1993.7458,-22.7,,,
1993.7729,24.56,,,
1993.8002,16.86,,,
1993.855,0.87,,,
1993.8815,-97.36,,,
1993.909,-72.29,,,
1993.9362,-29.87,,,
1993.9631,-29.55,,,
1993.9898,-16.93,,,
1994.0174,27.82,,,
1994.0445,11.22,,,
1994.0987,-65.12,,,
1994.1256,43.14,,,
1994.1529,24.31,,,
1994.1801,-37.62,,,
1994.2347,-78.13,,,
1994.2613,-67.66,,,
1994.2883,-25.47,,,
1994.316,20.49,,,
1994.3433,-5.95,,,
1994.3701,-4.19,,,
1994.3972,33.29,,,
1994.4245,-6.82,,,
1994.4518,-24.39,,,
1994.505,-25.17,,,
1994.5332,-21.02,,,
1994.5601,-43.5,,,
1994.5876,-7.75,,,
1994.6147,-6.32,,,
1994.6417,-13.26,,,
1994.6688,-10.83,,,
1994.6961,-22.44,,,
1994.7231,-12.36,,,
1994.7505,-15.74,,,
1994.7766,-47.47,,,
1994.8048,-30.58,,,
1994.8318,-4.77,,,
1994.8853,-9.49,,,
1994.9132,-14.2,,,
1994.9402,-28.31,,,
1994.9675,-25.4,,,
1994.9946,-7.49,,,
1995.0219,-31.53,,,
1995.049,-53.79,,,
1995.076,-15.5,,,
1995.1031,1.86,,,
1995.1302,32.94,,,
1995.1578,-21.22,,,
1995.2119,-52.64,,,
1995.239,-55.96,,,
1995.2665,-46.1,,,
1995.2938,-9.32,,,
1995.3205,-7.94,,,
1995.3748,-18.31,,,
1995.4017,-25.01,,,
1995.429,-27.53,,,
1995.4559,12.35,,,
1995.4828,-10.29,,,
1995.5376,-9.35,,,
1995.5648,-20.07,,,
1995.5918,-17.08,,,
1995.6188,-23.11,,,
1995.6464,-24.14,,,
1995.6729,-15.33,,,
1995.7006,6.43,,,
1995.7274,-25.38,,,
1995.7546,-35.27,,,
1995.782,-44.09,,,
1995.8368,-19.47,,,
1995.8634,5.62,,,
1995.8888,34.83,,,
1995.9451,1.5,,,
1995.9724,44.59,,,
1995.9972,116.67,,,
1996.0262,120.17,,,
1996.0521,5.94,,,
1996.0808,74.89,,,
1996.1079,38.63,,,
1996.1629,-0.81,,,
1996.1891,-15.91,,,
1996.2162,32.54,,,
1996.2436,33.73,,,
1996.2707,14.54,,,
1996.2978,-26.35,,,
1996.3251,-29.82,,,
1996.3522,56.21,,,
1996.3794,78.19,,,
1996.4063,17.27,,,
1996.4345,-24.71,,,
1996.4878,-40.27,,,
1996.5149,-16.22,,,
1996.542,-2.4,,,
1996.5694,19.36,,,
1996.5972,-0.69,,,
1996.6237,19.07,,,
1996.6509,2.37,,,
1996.6778,-36.44,,,
1996.7048,6.35,,,
1996.7332,37.78,,,
1996.7591,2.56,,,
1996.8137,0.54,,,
1996.8405,-18.42,,,
1996.868,22.07,,,
1996.8948,43.05,,,
1996.9222,15.36,,,
1996.9498,11.25,,,
1996.9762,77.14,,,
1997.0038,105.07,,,
1997.0306,98.62,,,
1997.0584,79.49,,,
1997.0847,-4.32,,,
1997.1393,-20.24,,,
1997.1666,-24.07,,,
1997.1937,-18.46,,,
1997.2206,-15.65,,,
1997.2482,-61.43,,,
1997.2752,-61.89,,,
1997.3023,-56.29,,,
1997.3293,11.77,,,
1997.3568,37.74,,,
1997.384,26.38,,,
1997.4108,16.96,,,
1997.4654,16.28,,,
1997.4908,13.09,,,
1997.5194,14.21,,,
1997.5467,-14.97,,,
1997.5739,-6.79,,,
1997.628,-16.12,,,
1997.6553,-3.48,,,
1997.6826,13.51,,,
1997.7092,16.42,,,
1997.737,-28.98,,,
1997.7906,0.85,,,
1997.8182,22.49,,,
1997.8455,22.28,,,
1997.8725,67,,,
1997.8995,20.2,,,
1997.9266,-0.96,,,
1997.9539,2.62,,,
1997.9812,71.95,,,
1998.0083,0.74,,,
1998.0358,-17.97,,,
1998.0899,36.34,,,
1998.1168,51.05,,,
1998.1438,-36.12,,,
1998.171,-9.86,,,
1998.1984,3.22,,,
1998.2252,-38.31,,,
1998.2521,-26.58,,,
