year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9609,-70.81,,,
1992.9859,-74.85,,,
1993.0108,-67.48,,,
1993.0382,-30.76,,,
1993.0654,-14.68,,,
1993.0967,-31.24,,,
1993.1197,-77.16,,,
1993.1472,-64.87,,,
1993.1759,-15.33,,,
1993.2029,-45.59,,,
1993.2297,-29.93,,,
1993.2843,2.03,,,
1993.3117,-61.92,,,
1993.3391,-41.67,,,
1993.3657,-42.74,,,
1993.3933,-42.5,,,
1993.4205,-61.5,,,
1993.4474,-48.2,,,
1993.4745,-48.08,,,
1993.5012,-25.66,,,
1993.5289,-17.78,,,
1993.5834,-37.72,,,
1993.6102,-29.31,,,
1993.6374,-37.45,,,
1993.6646,-23.34,,,
1993.6917,-41.52,,,
1993.7186,-63.52,,,
1993.7462,-46.29,,,
1993.7735,1.93,,,
1993.8005,-33.85,,,
1993.8547,-50.1,,,
1993.8816,-75.94,,,
1993.9095,-54.13,,,
1993.9362,-49.9,,,
1993.9632,24.17,,,
1993.9904,6.86,,,
1994.0177,-78.66,,,
1994.0444,-44.31,,,
1994.072,-16.8,,,
1994.099,-68.68,,,
1994.1262,-74.18,,,
1994.1533,-28.75,,,
1994.1806,-15.55,,,
1994.2349,17.74,,,
1994.2617,-41.02,,,
1994.2891,-11.39,,,
1994.3162,-26.64,,,
1994.3433,-21.03,,,
1994.3706,-46.65,,,
1994.3975,-37.36,,,
1994.4246,-15.57,,,
1994.4518,-37.01,,,
1994.5053,-42.27,,,
1994.5335,-11.46,,,
1994.5604,-30.92,,,
1994.588,-33.21,,,
1994.615,-60.75,,,
1994.642,-16.49,,,
1994.6691,-41.55,,,
1994.6965,-44.29,,,
1994.7233,-36.95,,,
1994.7504,-18.03,,,
1994.7778,-40.8,,,
1994.8049,-5.14,,,
1994.8321,-8.8,,,
1994.8864,-42.03,,,
1994.9132,-83.77,,,
1994.9408,-69.85,,,
1994.9675,-8.09,,,
1994.995,-38.24,,,
1995.0221,-23.18,,,
1995.0487,-39.25,,,
1995.0764,21.51,,,
1995.1036,40.12,,,
1995.1306,-59.64,,,
1995.158,-28.45,,,
1995.2121,-22.33,,,
1995.239,-32.3,,,
1995.2661,-19.68,,,
1995.2937,-33.84,,,
1995.3207,5.34,,,
1995.3748,-37.51,,,
1995.4023,-37.57,,,
1995.4289,-31.74,,,
1995.4565,-29.02,,,
1995.4839,-39.94,,,
1995.5378,-19.88,,,
1995.5646,-25.73,,,
1995.5922,-18.67,,,
1995.6194,-13.42,,,
1995.6464,-21.01,,,
1995.6739,-58.84,,,
1995.7008,-34.34,,,
1995.728,7.91,,,
1995.7549,-38.41,,,
1995.7823,-36.79,,,
1995.8365,-8.41,,,
1995.8637,-39.04,,,
1995.8905,-1.18,,,
1995.9455,12,,,
1995.9717,-8.32,,,
1995.9991,8.13,,,
1996.0265,-46.28,,,
1996.0529,-39.33,,,
1996.0806,12.82,,,
1996.1074,14.47,,,
1996.1624,-1.68,,,
1996.1892,-70.32,,,
1996.2169,-64.17,,,
1996.243,-39.79,,,
1996.2708,-12.63,,,
1996.2977,5.83,,,
1996.3251,-6.6,,,
1996.3527,-11.68,,,
1996.3793,25.95,,,
1996.4067,-3.11,,,
1996.4335,1.01,,,
1996.4882,-20.63,,,
1996.515,6.18,,,
1996.5426,12.22,,,
1996.57,-6,,,
1996.5969,-32.51,,,
1996.6235,-16.06,,,
1996.6505,-15.46,,,
1996.6779,-34.2,,,
1996.7056,-15.97,,,
1996.7337,11.36,,,
1996.7595,19.78,,,
1996.8143,11.03,,,
1996.8411,-4.9,,,
1996.8679,10.97,,,
1996.8954,6.82,,,
1996.9217,2.54,,,
1996.9493,-17.05,,,
1996.977,-44.26,,,
1997.0039,-42.4,,,
1997.031,31.99,,,
1997.0583,-38.68,,,
1997.0853,-23.26,,,
1997.1398,49.37,,,
1997.1666,19.09,,,
1997.1937,-19.82,,,
1997.2213,-1.54,,,
1997.248,6.95,,,
1997.2756,-54.99,,,
1997.3026,-23.92,,,
1997.3293,23.55,,,
1997.3566,-5.67,,,
1997.3842,-9.55,,,
1997.411,-0.46,,,
1997.4659,-2.49,,,
1997.4916,1.34,,,
1997.5196,-23.16,,,
1997.547,30.3,,,
1997.5734,30.92,,,
1997.6278,-30.51,,,
1997.6555,1.97,,,
1997.6822,-32.03,,,
1997.7094,-0.7,,,
1997.7373,10.29,,,
1997.7907,-60.67,,,
1997.8187,-52.76,,,
1997.8457,-1.1,,,
1997.8729,-74.95,,,
1997.8996,-97.66,,,
1997.9268,-39.14,,,
1997.954,-49.74,,,
1997.9813,-86.33,,,
1998.0064,-55.86,,,
1998.0357,-77.53,,,
1998.0887,-25.81,,,
1998.1167,-59.93,,,
1998.1442,-58,,,
1998.1713,-13.13,,,
1998.1981,-41.88,,,
1998.2254,5.52,,,
1998.2527,1.9,,,
1998.2795,-44.67,,,
1998.3068,-20.24,,,
1998.3339,-32.68,,,
1998.3612,-20,,,
1998.4157,2.12,,,
1998.4431,-4.59,,,
1998.4693,-0.12,,,
1998.4969,2.91,,,
1998.5242,-10.94,,,
1998.5519,-13.84,,,
1998.6059,11.21,,,
1998.6325,23.34,,,
1998.6601,2.42,,,
1998.6872,-17.63,,,
1998.7144,-0.16,,,
1998.7413,7.63,,,
1998.7685,-2.66,,,
1998.8234,8.11,,,
1998.8491,1.07,,,
1998.8773,-19.59,,,
1998.9043,5.65,,,
1998.9313,15.31,,,
1998.9578,37.74,,,
1998.9858,7.02,,,
1999.0118,43.31,,,
1999.0406,39.56,,,
1999.094,13.83,,,
1999.1264,9,,,
1999.1485,17.06,,,
1999.1752,-13.13,,,
1999.2029,0.81,,,
1999.2299,43.9,,,
1999.2569,59.06,,,
1999.2843,24.23,,,
1999.3387,64.5,,,
1999.3656,5.45,,,
1999.3928,12.56,,,
1999.4199,3.56,,,
1999.4476,0.81,,,
1999.4744,4.01,,,
1999.501,23.54,,,
1999.5284,-1.15,,,
1999.5559,6.28,,,
1999.5825,-0.43,,,
1999.6094,7.52,,,
1999.6373,22.58,,,
1999.6913,-12.12,,,
1999.7189,0.02,,,
1999.7456,38.52,,,
1999.7733,42.13,,,
1999.7999,80.4,,,
1999.8268,31.87,,,
1999.8544,19.97,,,
1999.8816,22.76,,,
1999.9083,37.33,,,
1999.9635,96.25,,,
1999.9905,55.9,,,
2000.0174,-27.18,,,
2000.0443,1.35,,,
2000.072,117.3,,,
2000.0985,71.71,,,
2000.1257,14.63,,,
2000.1526,72.52,,,
2000.1801,47.82,,,
2000.2073,14.87,,,
2000.2347,50.71,,,
2000.2886,12.66,,,
2000.3164,-1.62,,,
2000.343,-0.25,,,
2000.37,6.9,,,
2000.397,27.8,,,
2000.4245,13.42,,,
2000.4516,21.68,,,
2000.4787,20.78,,,
2000.5058,44.73,,,
2000.534,50.9,,,
2000.5874,1.43,,,
2000.614,23.26,,,
2000.642,0.21,,,
2000.6689,3.24,,,
2000.6963,16.01,,,
2000.7231,43.45,,,
2000.75,2.47,,,
2000.7771,-2.37,,,
2000.8044,5.16,,,
2000.859,7.72,,,
2000.8862,37.29,,,
2000.9134,3.54,,,
2000.9402,4.35,,,
2000.9676,22.74,,,
2000.9946,24.42,,,
2001.0217,4.56,,,
2001.0754,16.47,,,
2001.1029,47.93,,,
2001.1304,83.59,,,
2001.1572,26.8,,,
2001.1846,57.61,,,
2001.2121,7.87,,,
2001.239,13.3,,,
2001.2656,33.76,,,
2001.2933,23.92,,,
2001.3202,11.7,,,
2001.3478,17.33,,,
2001.3749,32.9,,,
2001.4011,19.24,,,
2001.4289,38.06,,,
2001.456,13.75,,,
2001.4832,26.83,,,
2001.5104,36.78,,,
2001.5377,34.13,,,
2001.5648,56.44,,,
2001.5912,45.36,,,
2001.619,41.2,,,
2001.6461,28.91,,,
2001.6735,18.95,,,
2001.7005,41.01,,,
2001.728,49.31,,,
2001.7547,30.59,,,
2001.7825,26.42,,,
2001.8092,27.27,,,
