year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9614,-21.94,,,
1992.9865,-23.13,,,
1993.0123,-18.82,,,
1993.0406,-20.53,,,
1993.066,-21.54,,,
1993.0974,-25.19,,,
1993.1206,-25.81,,,
1993.1492,-18.29,,,
1993.1765,-14.11,,,
1993.2037,-15.46,,,
1993.2307,-19.17,,,
1993.2851,-21.66,,,
1993.3123,-13.97,,,
1993.3394,-14.9,,,
1993.3666,-11.73,,,
1993.3937,-15.27,,,
1993.4208,-21.97,,,
1993.448,-16.79,,,
1993.4752,-14.52,,,
1993.5021,-11.95,,,
1993.5294,-6.25,,,
1993.5837,-18.21,,,
1993.6117,-16.45,,,
1993.6381,-13.79,,,
1993.6652,-8.23,,,
1993.6923,-11.57,,,
1993.7188,-20.86,,,
1993.7466,-20.57,,,
1993.7738,-12.39,,,
1993.8009,-13.97,,,
1993.8553,-12.56,,,
1993.8824,-16.05,,,
1993.9097,-18.25,,,
1993.9367,-18.57,,,
1993.9638,-8.6,,,
1993.9907,-6.08,,,
1994.0181,-13.9,,,
1994.0452,-11.72,,,
1994.0723,-14.31,,,
1994.0995,-19.15,,,
1994.1267,-20.45,,,
1994.1538,-12.31,,,
1994.1809,-9.77,,,
1994.2353,-13.88,,,
1994.2624,-10.25,,,
1994.2896,-10.36,,,
1994.3168,-8.24,,,
1994.3439,-9.83,,,
1994.371,-17.03,,,
1994.3982,-22.15,,,
1994.4254,-16.73,,,
1994.4525,-6.75,,,
1994.5067,-13.73,,,
1994.5339,-12.67,,,
1994.561,-18.26,,,
1994.5882,-16.13,,,
1994.6154,-14.28,,,
1994.6425,-12.68,,,
1994.6696,-13.44,,,
1994.6967,-16.09,,,
1994.7239,-17.09,,,
1994.7511,-16.44,,,
1994.7782,-15.91,,,
1994.8054,-12.13,,,
1994.8325,-10.02,,,
1994.8868,-18.9,,,
1994.9139,-18.95,,,
1994.9411,-6.62,,,
1994.9683,-5.83,,,
1994.9954,-9.4,,,
1995.0226,-9.25,,,
1995.0497,-13.21,,,
1995.0769,-6.16,,,
1995.104,-8.56,,,
1995.1312,-10.82,,,
1995.1583,-5.03,,,
1995.2126,-8.05,,,
1995.2399,-13.5,,,
1995.2669,-5.15,,,
1995.2941,-5.95,,,
1995.3212,-6.4,,,
1995.3755,-13.33,,,
1995.4028,-11.92,,,
1995.4298,-6.68,,,
1995.457,-7.9,,,
1995.4841,-13.85,,,
1995.5384,-16.1,,,
1995.5656,-10.83,,,
1995.5927,-7.85,,,
1995.6199,-3.45,,,
1995.647,-10.78,,,
1995.674,-14.56,,,
1995.7013,-11.11,,,
1995.7285,-2.4,,,
1995.7556,-6.11,,,
1995.7827,-8.53,,,
1995.837,-15.2,,,
1995.8642,-11.87,,,
1995.89,-5.48,,,
1995.9456,-3.97,,,
1995.9728,-3.05,,,
1995.9998,-9.04,,,
1996.027,-12.62,,,
1996.0532,-10.66,,,
1996.0813,-7.02,,,
1996.1084,-0.68,,,
1996.1631,-7.26,,,
1996.19,-9.81,,,
1996.2171,-6.15,,,
1996.2443,-3.41,,,
1996.2714,-5.16,,,
1996.2985,-9.93,,,
1996.3257,-6.25,,,
1996.3529,-1.89,,,
1996.38,-2.52,,,
1996.4071,1.01,,,
1996.4343,-2.74,,,
1996.4886,-11.62,,,
1996.5158,-8.02,,,
1996.5429,1.57,,,
1996.57,5.09,,,
1996.5972,-1.08,,,
1996.6244,-6.32,,,
1996.6515,-7.38,,,
1996.6786,-8.59,,,
1996.7054,-0.91,,,
1996.7335,3.18,,,
1996.76,2.54,,,
1996.8144,4.29,,,
1996.8415,7.34,,,
1996.8686,3.54,,,
1996.8958,-2.95,,,
1996.923,-3.4,,,
1996.9501,-7.21,,,
1996.977,-15.5,,,
1997.0044,-11.47,,,
1997.0315,-5.78,,,
1997.0587,-5.73,,,
1997.0858,-4.79,,,
1997.1402,-9.99,,,
1997.1673,-8.7,,,
1997.1944,-5.19,,,
1997.2216,-1.16,,,
1997.2487,-0.21,,,
1997.2759,-9.26,,,
1997.3031,-15.02,,,
1997.3302,-11.01,,,
1997.3574,-3.31,,,
1997.3845,0.99,,,
1997.4116,3.75,,,
1997.4659,-8.91,,,
1997.4929,-4.79,,,
1997.5202,-1.32,,,
1997.5474,4.62,,,
1997.5745,-1.5,,,
1997.6288,-3.4,,,
1997.656,-3.19,,,
1997.683,-4.21,,,
1997.7103,-0.95,,,
1997.7374,2.31,,,
1997.7917,-1.12,,,
1997.8189,-0.03,,,
1997.846,4.2,,,
1997.8731,-0.94,,,
1997.9001,-3.38,,,
1997.9274,-5.77,,,
1997.9546,-7.44,,,
