year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9597,-52.44,,,
1992.9874,-10,,,
1993.0139,10.53,,,
1993.0409,1.1,,,
1993.0686,-26.9,,,
1993.0964,-70.29,,,
1993.1223,-24.42,,,
1993.1491,-50.21,,,
1993.1782,-23.14,,,
1993.2052,33.88,,,
1993.2329,1.37,,,
1993.2875,-1.79,,,
1993.3128,11.79,,,
1993.341,19.9,,,
1993.3677,12.77,,,
1993.3946,-24.66,,,
1993.4226,-36.94,,,
1993.4497,-48.94,,,
1993.4768,-48.72,,,
1993.5032,-31.57,,,
1993.5306,-32.7,,,
1993.5849,-10.71,,,
1993.6125,-21.41,,,
1993.6399,-81.95,,,
1993.6664,-85.51,,,
1993.6938,-36.01,,,
1993.7202,-94.11,,,
1993.7483,-17.97,,,
1993.7756,20.38,,,
1993.8027,-47.47,,,
1993.8568,-30.87,,,
1993.8842,-25.06,,,
1993.9115,-86.77,,,
1993.9378,-83.3,,,
1993.9655,-64.89,,,
1993.9924,-29.37,,,
1994.0197,-6.06,,,
1994.0463,24.95,,,
1994.0739,-30.27,,,
1994.1012,-77.23,,,
1994.1282,-28.9,,,
1994.1552,-3.9,,,
1994.1819,-6.9,,,
1994.2364,-28.96,,,
1994.2642,17.62,,,
1994.2907,16.51,,,
1994.3184,27.97,,,
1994.3449,-3.77,,,
1994.3726,-35.31,,,
1994.3999,-30.59,,,
1994.4268,-32.02,,,
1994.4539,-39.02,,,
1994.508,-64.44,,,
1994.5356,-4.28,,,
1994.5624,-12.27,,,
1994.589,8.08,,,
1994.6173,17.12,,,
1994.6439,31.45,,,
1994.6712,-29.27,,,
1994.6984,-22.68,,,
1994.7257,-2.93,,,
1994.7525,14.31,,,
1994.7804,-37.95,,,
1994.8067,10.96,,,
1994.834,-0.71,,,
1994.8883,-16.4,,,
1994.9161,-34.15,,,
1994.9422,-0.63,,,
1994.9703,31.99,,,
1994.9968,19.07,,,
1995.0237,-66.56,,,
1995.0514,-26.1,,,
1995.0792,6.36,,,
1995.1053,1.94,,,
1995.1325,29.17,,,
1995.1601,-14.02,,,
1995.2145,-25.53,,,
1995.2403,-37.47,,,
1995.2685,-27.86,,,
1995.2952,17.08,,,
1995.3228,-13.57,,,
1995.3758,16.24,,,
1995.4041,-5.08,,,
1995.4316,-39.44,,,
1995.458,-14.98,,,
1995.4851,-48.35,,,
1995.54,-63.49,,,
1995.5671,-41.01,,,
1995.5945,-65.89,,,
1995.6213,-83.04,,,
1995.6487,-50.62,,,
1995.6748,-93.61,,,
1995.7029,-36.03,,,
1995.7303,5.09,,,
1995.7574,-36.54,,,
1995.7843,-31.83,,,
1995.8919,-60.66,,,
1995.9468,34.34,,,
1995.9744,12.01,,,
1996.001,-22.85,,,
1996.0304,-17.66,,,
1996.0559,17.36,,,
1996.0829,-11.49,,,
1996.1101,-54.73,,,
1996.1643,-68.91,,,
1996.191,-72.86,,,
1996.2186,-18.4,,,
1996.2457,-54.62,,,
1996.2731,-31.22,,,
1996.3002,-23.21,,,
1996.3276,-22.67,,,
1996.3556,21.48,,,
1996.3809,27.1,,,
1996.409,2.97,,,
1996.4364,-4.3,,,
1996.4901,-31.29,,,
1996.5171,-13.4,,,
1996.5446,8.2,,,
1996.5705,15.6,,,
1996.5984,14.6,,,
1996.6262,-42.09,,,
1996.6527,-45.26,,,
1996.6799,-38.31,,,
1996.7079,-5.68,,,
1996.734,31.29,,,
1996.7611,46.79,,,
1996.8161,32.35,,,
1996.8432,32.57,,,
1996.8708,22.51,,,
1996.8967,-28.21,,,
1996.9246,-75.14,,,
1996.9515,-58.47,,,
1996.9787,-36.6,,,
1997.0061,-25.46,,,
1997.0334,-10.8,,,
1997.0601,-10.75,,,
1997.0878,39.1,,,
1997.1418,-8.6,,,
1997.1687,45.76,,,
1997.1966,51.19,,,
1997.2233,20.84,,,
1997.2501,-34.67,,,
1997.2772,-60.03,,,
1997.3052,10.65,,,
1997.3318,-14.12,,,
1997.3591,-24.76,,,
1997.386,3.1,,,
1997.4131,40.94,,,
1997.467,17.28,,,
1997.4943,-14.17,,,
1997.522,7.56,,,
1997.5495,13.73,,,
1997.5763,7.94,,,
1997.6301,67.52,,,
1997.6575,8.46,,,
1997.6839,-17.05,,,
1997.7117,33.88,,,
1997.7395,-1.82,,,
1997.7932,-72.31,,,
1997.8203,-61.41,,,
1997.8475,-48.3,,,
1997.8746,-19.28,,,
1997.9015,1.55,,,
1997.929,-38.3,,,
1997.9571,-35.85,,,
1997.9836,48.79,,,
1998.0105,20.8,,,
1998.0377,83.94,,,
1998.0915,-21.95,,,
1998.1189,-20.88,,,
1998.1457,89.28,,,
1998.1731,89.79,,,
1998.2007,51.97,,,
1998.2285,-13.22,,,
1998.2545,-5.65,,,
1998.2802,4.76,,,
1998.3093,14.61,,,
1998.3367,27.87,,,
1998.3632,3.74,,,
1998.4171,20.54,,,
1998.445,58.98,,,
1998.4719,77.2,,,
1998.499,32.14,,,
1998.5261,28.1,,,
1998.5528,46.52,,,
1998.6078,-3.11,,,
1998.6352,-34.04,,,
1998.6622,-57.08,,,
1998.6894,-53.34,,,
1998.7163,3.46,,,
1998.7434,0.3,,,
1998.7705,-8.49,,,
1998.8254,-6.31,,,
1998.8521,1.16,,,
1998.8784,10.55,,,
1998.906,9.4,,,
1998.9338,30.98,,,
1998.9606,-23.88,,,
1998.9872,38.19,,,
1999.0147,-20.69,,,
1999.0422,7.31,,,
1999.097,-48.77,,,
1999.1271,-36.13,,,
1999.1508,-25.01,,,
1999.1776,16.57,,,
1999.2048,80.81,,,
1999.2321,74.47,,,
1999.259,46.41,,,
1999.2876,1.49,,,
1999.3401,-19.11,,,
1999.3666,-28.32,,,
1999.395,-20.83,,,
1999.4233,20.72,,,
1999.4496,-11.59,,,
1999.4761,7.39,,,
1999.5038,26.37,,,
1999.5308,2.29,,,
1999.5571,-28.06,,,
1999.5852,23.33,,,
1999.6125,43.99,,,
1999.6396,-12.65,,,
1999.6936,4.31,,,
1999.7201,22.69,,,
1999.7472,25.09,,,
1999.7752,43.33,,,
1999.8021,83.94,,,
1999.8293,88.39,,,
1999.8566,43.8,,,
1999.8836,19.14,,,
1999.9108,-5.14,,,
1999.9651,-30.83,,,
1999.9924,11.73,,,
2000.0191,65.36,,,
2000.0472,50.49,,,
2000.0751,-12.54,,,
2000.1011,4.65,,,
2000.1277,32.74,,,
2000.1544,38.17,,,
2000.1817,36.31,,,
2000.2098,33.25,,,
2000.2365,8.93,,,
2000.2908,-29.72,,,
2000.3183,-1.61,,,
2000.3445,-14.34,,,
2000.3721,0.58,,,
2000.3993,1.97,,,
2000.4266,-14.82,,,
2000.4546,13.99,,,
2000.4817,-3.56,,,
2000.5073,16.38,,,
2000.5353,12.8,,,
2000.5896,-25.63,,,
2000.617,-16.95,,,
2000.6439,-2.45,,,
2000.6714,19.39,,,
2000.6977,43.36,,,
2000.725,4.6,,,
2000.7526,4.23,,,
2000.7797,-8.92,,,
2000.8066,-9.09,,,
2000.8609,1.06,,,
2000.889,9.48,,,
2000.9144,15.5,,,
2000.9419,30.28,,,
2000.9699,39.25,,,
2000.9967,40.62,,,
2001.0243,99.61,,,
2001.078,92.65,,,
2001.1053,55.44,,,
2001.1327,31.09,,,
2001.1607,1.1,,,
2001.1865,-18.71,,,
2001.2149,-19.96,,,
2001.2412,12.91,,,
2001.2682,5,,,
2001.2941,-8.97,,,
2001.3226,11.48,,,
2001.3498,14.59,,,
2001.3759,-10.6,,,
2001.4038,2.05,,,
2001.4322,-18.05,,,
2001.4578,32.53,,,
2001.4858,26.84,,,
2001.5124,34.82,,,
2001.5395,17.21,,,
2001.5667,17.01,,,
2001.5939,27.01,,,
2001.6213,28.86,,,
2001.6481,62.96,,,
2001.6755,64.17,,,
2001.7027,72.07,,,
2001.7294,39.58,,,
2001.7575,17.29,,,
2001.7836,72.79,,,
2001.8106,58.11,,,
2001.8384,-2.22,,,
2001.8654,-41.63,,,
2001.8942,-14.01,,,
2001.9197,6.77,,,
2001.9475,33.89,,,
2001.9743,-43.65,,,
2002.0012,-59.34,,,
2002.028,-59.58,,,
2002.0549,-0.18,,,
2002.055,,8.72,,
2002.0817,,18.11,,
2002.0822,16.64,,,
2002.1094,,1.22,,
2002.1099,-12.86,,,
2002.1363,,16.05,,
2002.137,7.8,,,
2002.1636,-32.62,,,
2002.164,,-28.22,,
2002.1906,-34.84,,,
2002.1908,,-31.67,,
2002.2179,,-48.34,,
2002.2184,-39.98,,,
2002.2449,,-0.68,,
2002.245,-7.32,,,
2002.2723,,12.45,,
2002.2727,21.35,,,
2002.2991,,11.65,,
2002.3014,13.9,,,
2002.3259,,53.77,,
2002.327,49.61,,,
2002.3533,,70.17,,
2002.3542,78.67,,,
2002.3806,65.92,,,
2002.3808,,53.63,,
2002.4084,,7.37,,
2002.4089,9.21,,,
2002.4352,,5.91,,
2002.4353,0.76,,,
2002.4622,,15.55,,
2002.4629,16.59,,,
2002.4889,,83.03,,
2002.4899,75.63,,,
2002.5171,,-16.12,,
2002.5436,,34.59,,
2002.5443,40.28,,,
2002.571,,66.19,,
2002.5711,58.77,,,
2002.5977,,-3.68,,
2002.5982,-1.3,,,
2002.6255,,16.69,,
2002.626,8.19,,,
2002.6515,,32.39,,
2002.6556,44.46,,,
2002.6792,54.19,,,
2002.6795,,61.92,,
2002.7061,42.32,,,
2002.7069,,27.87,,
2002.7333,-8.51,,,
2002.7335,,-23.38,,
2002.7602,-38.87,,,
2002.7612,,-36.05,,
2002.787,13.16,,,
2002.7881,,10.57,,
2002.815,,34.21,,
2002.8157,48.54,,,
2002.842,-21.86,,,
2002.8425,,-50.49,,
2002.8686,-3.74,,,
2002.8693,,-25.42,,
2002.8947,,16.06,,
2002.897,43.59,,,
2002.9228,47.56,,,
2002.9237,,39.05,,
2002.9505,17.8,,,
2002.9508,,9.16,,
2002.9775,60.41,,,
2002.9781,,63.1,,
2003.0043,16.73,,,
2003.005,,0.8,,
2003.0321,-11.04,,,
2003.0326,,-19.75,,
2003.0587,-1.6,,,
2003.0599,,5.47,,
2003.0858,4.13,,,
2003.0865,,27.28,,
2003.1137,54.75,,,
2003.1142,,76.65,,
2003.1409,29.03,,,
2003.1413,,31.41,,
2003.1671,54.64,,,
2003.1676,,59.02,,
2003.1941,60.11,,,
2003.195,,61.24,,
2003.2222,19.55,,,
2003.2227,,13.01,,
2003.2487,13.04,,,
2003.2494,,8.48,,
2003.2763,-27.35,,,
2003.2806,,-26.39,,
2003.3029,-18.77,,,
2003.3036,,-10.08,,
2003.3305,-60.03,,,
2003.3307,,-71.75,,
2003.3576,22.77,,,
2003.3577,,33.9,,
2003.3834,71.18,,,
2003.3852,,64.17,,
2003.4114,,44.06,,
