year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9614,1.83,,,
1992.9866,25.89,,,
1993.0114,47.44,,,
1993.0405,42.48,,,
1993.0656,17.5,,,
1993.0975,-0.51,,,
1993.1199,7.34,,,
1993.148,16.1,,,
1993.1765,10.11,,,
1993.2039,16.98,,,
1993.2309,-6.78,,,
1993.2849,-4.89,,,
1993.3124,9.05,,,
1993.3394,16.11,,,
1993.3667,14.59,,,
1993.3936,10.49,,,
1993.4204,5.08,,,
1993.4481,-7.73,,,
1993.4751,-7.66,,,
1993.5023,0.95,,,
1993.5296,-6.55,,,
1993.5836,-48.17,,,
1993.6125,-37.02,,,
1993.6385,-17.19,,,
1993.6653,10.12,,,
1993.6924,3.16,,,
1993.7185,-8.37,,,
1993.7467,0.77,,,
1993.7738,-2.75,,,
1993.8013,-13.27,,,
1993.8553,17.45,,,
1993.8825,-4.09,,,
1993.9096,-38.65,,,
1993.9364,-32.08,,,
1993.9639,-11.63,,,
1993.9909,0.47,,,
1994.018,18.47,,,
1994.0454,20.39,,,
1994.0726,15.95,,,
1994.0997,-1.73,,,
1994.1268,-1.45,,,
1994.1539,9.39,,,
1994.181,-4.86,,,
1994.2354,-11.32,,,
1994.2631,-3.05,,,
1994.2895,0.28,,,
1994.3167,-2.19,,,
1994.3435,10.87,,,
1994.3712,8.41,,,
1994.3981,12.59,,,
1994.4258,6.68,,,
1994.453,-11.18,,,
1994.5071,-18.43,,,
1994.5339,-10.58,,,
1994.561,-36.5,,,
1994.5883,-24.92,,,
1994.6154,-12.24,,,
1994.6428,-11.12,,,
1994.6695,16.38,,,
1994.6968,2.56,,,
1994.7235,-17.41,,,
1994.751,-20.62,,,
1994.7787,-2.76,,,
1994.8053,-0.33,,,
1994.8326,11.86,,,
1994.8873,-0.23,,,
1994.914,-2.65,,,
1994.9413,-11.06,,,
1994.9684,-5.19,,,
1994.9953,18.64,,,
1995.0227,10.47,,,
1995.0497,-5.84,,,
1995.0767,-5.49,,,
1995.1039,-0.26,,,
1995.131,5.15,,,
1995.1582,0.69,,,
1995.2128,-15.5,,,
1995.2397,4.81,,,
1995.267,-3.97,,,
1995.2941,21.3,,,
1995.3211,21.21,,,
1995.3755,1.29,,,
1995.4026,-0.52,,,
1995.43,16.27,,,
1995.4575,3.1,,,
1995.484,-12.85,,,
1995.5385,-15.26,,,
1995.5655,4.51,,,
1995.5926,4.52,,,
1995.6199,10.89,,,
1995.6469,22.93,,,
1995.6745,14.24,,,
1995.7014,0.42,,,
1995.7287,21.07,,,
1995.7554,0.13,,,
1995.7827,10,,,
1995.8373,1.6,,,
1995.8643,-19.81,,,
1995.8894,-16.34,,,
1995.9456,-9.95,,,
1995.9728,17.76,,,
1995.9994,31.94,,,
1996.0273,17.28,,,
1996.0533,5.19,,,
1996.0814,1.95,,,
1996.1084,19.33,,,
1996.1625,-1.64,,,
1996.19,16.63,,,
1996.2171,17.9,,,
1996.244,11.05,,,
1996.2713,-7.48,,,
1996.2983,-9.34,,,
1996.3259,13.42,,,
1996.3529,16.25,,,
1996.38,7.17,,,
1996.4072,30.36,,,
1996.4345,25.71,,,
1996.4886,-14.87,,,
1996.5155,-9.79,,,
1996.5438,-12.71,,,
1996.5699,-18.65,,,
1996.5973,-11.52,,,
1996.6242,-8.5,,,
1996.6517,-20.89,,,
1996.6786,-32.24,,,
1996.7058,-7.9,,,
1996.7334,-11.62,,,
1996.7603,-15.19,,,
1996.8144,-33.48,,,
1996.8416,-50.4,,,
1996.8687,-31.52,,,
1996.8959,-6.01,,,
1996.9231,11.26,,,
1996.9497,-18.11,,,
1996.9774,-46.8,,,
1997.0045,-33.67,,,
1997.0317,0,,,
1997.0587,-13.83,,,
1997.0857,-33.88,,,
1997.1403,-41.38,,,
1997.1675,-38.5,,,
1997.1944,-25.47,,,
1997.2217,-17.9,,,
1997.2487,-5.11,,,
1997.2758,-7.12,,,
1997.3032,-12.98,,,
1997.33,-7.9,,,
1997.3573,16.52,,,
1997.3847,-4.56,,,
1997.4117,-13.29,,,
1997.4662,39.03,,,
1997.4926,44.58,,,
1997.5201,40.69,,,
1997.547,28.13,,,
1997.5746,19.2,,,
1997.6288,27.35,,,
1997.6561,19.31,,,
1997.6831,28.28,,,
1997.7103,28.21,,,
1997.7374,26.53,,,
1997.7913,28.46,,,
1997.8189,41.53,,,
1997.846,34.18,,,
1997.873,51.4,,,
1997.9002,32.87,,,
1997.9274,38.22,,,
1997.9547,15.35,,,
1997.9818,12.67,,,
1998.0077,19.72,,,
1998.0362,13.39,,,
1998.0906,-9.34,,,
1998.1173,3.92,,,
1998.1447,7.97,,,
1998.1719,13.8,,,
1998.1989,6.99,,,
1998.2261,18.68,,,
1998.2534,16.04,,,
1998.2794,25.32,,,
1998.3078,25.21,,,
1998.3349,27.64,,,
1998.3619,29.56,,,
1998.4151,-19.09,,,
1998.4434,-7.44,,,
1998.4704,0.66,,,
1998.4981,20.04,,,
1998.5248,13.94,,,
1998.5518,2.63,,,
1998.6062,4.76,,,
1998.6329,22.58,,,
1998.6607,35.1,,,
1998.6876,34.83,,,
1998.7146,33.16,,,
1998.7421,5.33,,,
1998.7689,-16.39,,,
1998.8235,1.31,,,
1998.8504,-12.84,,,
1998.8777,-42.04,,,
1998.9048,-36.68,,,
1998.9321,-23.06,,,
1998.9596,-8.08,,,
1998.9864,-15.39,,,
1999.0134,-14.36,,,
1999.0405,-13.02,,,
1999.0946,-29.47,,,
1999.126,-35.36,,,
1999.149,12.13,,,
1999.1763,0.27,,,
1999.2037,-22.15,,,
1999.2305,-38.55,,,
1999.2578,-34.08,,,
1999.2845,-42.69,,,
1999.3394,-25.59,,,
1999.3663,-14.81,,,
1999.3937,-22.1,,,
1999.4206,-58.08,,,
1999.448,-50.26,,,
1999.4752,-38.62,,,
1999.5015,-24.81,,,
1999.5296,-26.65,,,
1999.5566,-35.08,,,
1999.5835,-33.71,,,
1999.6105,-20.27,,,
1999.6378,-0.3,,,
1999.692,-23.59,,,
1999.7192,-30.04,,,
1999.7463,-37.51,,,
1999.7736,-22.83,,,
1999.801,-40.03,,,
1999.8279,-42.88,,,
1999.8552,-52.53,,,
1999.8825,-37.69,,,
1999.9091,-33.78,,,
1999.9637,-28.91,,,
1999.9906,-15.8,,,
2000.0178,-15.31,,,
2000.0452,-4.48,,,
2000.0723,-8.4,,,
2000.0991,-7.22,,,
2000.1264,-21.55,,,
2000.1535,-29.8,,,
2000.1809,-33.73,,,
2000.208,-38.44,,,
2000.2351,-35.53,,,
2000.2896,-32.84,,,
2000.3167,-33.19,,,
2000.3437,-52.54,,,
