year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9614,9.79,,,
1992.9858,20.18,,,
1993.0114,39.9,,,
1993.0387,8.36,,,
1993.0657,-12.07,,,
1993.0977,-20.27,,,
1993.1192,-33.22,,,
1993.148,-33.91,,,
1993.1759,-21.28,,,
1993.203,-32.08,,,
1993.2298,-43.23,,,
1993.2847,-44.57,,,
1993.3119,-19.7,,,
1993.3388,4.2,,,
1993.3662,-5.83,,,
1993.3934,1.04,,,
1993.4202,-11.25,,,
1993.4465,-20.94,,,
1993.4746,-18.59,,,
1993.5002,-19.06,,,
1993.5287,-5.38,,,
1993.5833,-48.22,,,
1993.6125,-36.96,,,
1993.6376,18.89,,,
1993.6645,33.3,,,
1993.6916,15.15,,,
1993.7175,10.24,,,
1993.7455,-0.77,,,
1993.7731,-12.61,,,
1993.8003,-1.32,,,
1993.8544,31.53,,,
1993.8822,14.55,,,
1993.9088,13.47,,,
1993.9361,-2.55,,,
1993.9631,31.6,,,
1993.9904,47.44,,,
1994.0175,47.35,,,
1994.0444,44.79,,,
1994.0716,36.61,,,
1994.099,34.03,,,
1994.126,38.28,,,
1994.1534,23.19,,,
1994.1803,11.73,,,
1994.2349,6.34,,,
1994.2619,-7.78,,,
1994.2886,-1.19,,,
1994.3158,0.99,,,
1994.3432,2.85,,,
1994.3705,-16.62,,,
1994.3974,-9.4,,,
1994.4243,-21.37,,,
1994.4522,-27.77,,,
1994.505,-37.13,,,
1994.5329,-34,,,
1994.5606,-23.71,,,
1994.5881,-42.17,,,
1994.6149,-24.62,,,
1994.641,-50.32,,,
1994.6691,-17.97,,,
1994.6967,-35.44,,,
1994.7235,-52.1,,,
1994.7508,-49.67,,,
1994.7775,-26.01,,,
1994.8047,-30.85,,,
1994.8318,-34.79,,,
1994.8847,-65.18,,,
1994.9134,-68.7,,,
1994.9405,-64.72,,,
1994.9679,-46.16,,,
1994.9945,-33.23,,,
1995.022,-27.78,,,
1995.0493,-41.78,,,
1995.0761,-59.6,,,
1995.1035,-37.25,,,
1995.1307,-38.84,,,
1995.1577,-19.03,,,
1995.2118,-27.92,,,
1995.2413,-10.59,,,
1995.2663,5.03,,,
1995.2941,-2.11,,,
1995.3206,20.61,,,
1995.3749,4.8,,,
1995.4021,6,,,
1995.4289,19.64,,,
1995.4561,5.04,,,
1995.4834,-2.16,,,
1995.5376,12.03,,,
1995.565,35.69,,,
1995.592,26.22,,,
1995.6192,43.11,,,
1995.6463,39.38,,,
1995.6738,11.44,,,
1995.7006,10.09,,,
1995.7284,9.93,,,
1995.7553,2.39,,,
1995.7822,2.25,,,
1995.836,18.25,,,
1995.8644,5.18,,,
1995.8898,6.08,,,
1995.9452,12.25,,,
1995.9724,18.59,,,
1995.998,20.65,,,
1996.0264,15.08,,,
1996.0527,12.55,,,
1996.0804,-0.24,,,
1996.1076,-6.39,,,
1996.1623,-28.51,,,
1996.189,-5.08,,,
1996.2173,0.57,,,
1996.2435,-7.26,,,
1996.2706,-34.35,,,
1996.2978,-22.97,,,
1996.3249,-9.4,,,
1996.3523,10.47,,,
1996.3793,4.47,,,
1996.4065,18.71,,,
1996.4329,13.54,,,
1996.4881,13.74,,,
1996.5149,6.64,,,
1996.5419,-7.81,,,
1996.5695,-0.57,,,
1996.5964,14.65,,,
1996.6236,12.15,,,
1996.6505,9.6,,,
1996.6782,9.45,,,
1996.7056,22.29,,,
1996.7323,17.28,,,
1996.7596,15.02,,,
1996.8137,13.64,,,
1996.841,12.23,,,
1996.8689,21.77,,,
1996.8953,34.45,,,
1996.923,35.67,,,
1996.9497,-4.46,,,
1996.9766,-21.76,,,
1997.0038,-11.39,,,
1997.0309,8.75,,,
1997.058,15.51,,,
1997.0852,-11.37,,,
1997.1396,-42.94,,,
1997.1666,-6.13,,,
1997.1937,0.44,,,
1997.2218,28.8,,,
1997.2483,16.15,,,
1997.2753,-14.27,,,
1997.3024,-34.32,,,
1997.3295,-37.48,,,
1997.3569,-8.13,,,
1997.3847,3.9,,,
1997.411,-7.43,,,
1997.4655,3.7,,,
1997.4914,10.69,,,
1997.5205,5.01,,,
1997.5467,-4.69,,,
1997.5742,-38.66,,,
1997.628,-23.44,,,
1997.6553,-12.1,,,
1997.6824,17.59,,,
1997.7094,-7.57,,,
1997.7373,3.01,,,
1997.7912,-19.19,,,
1997.818,-52.02,,,
1997.8455,-53.45,,,
1997.8721,-60.84,,,
1997.8995,-86.79,,,
1997.927,-95.61,,,
1997.9541,-88.84,,,
1997.9813,-98.54,,,
1998.0061,-93.93,,,
1998.0353,-96.58,,,
1998.0897,-93.45,,,
1998.1167,-83.12,,,
1998.1448,-64.12,,,
1998.1711,-55.71,,,
1998.1983,-40.38,,,
1998.2255,-51.33,,,
1998.2536,-44.11,,,
1998.2792,-37.17,,,
1998.3068,-28.8,,,
1998.334,-14.51,,,
1998.3607,-4.99,,,
1998.4162,-27.88,,,
1998.4425,-19.02,,,
1998.4697,-4.11,,,
1998.4969,3.71,,,
1998.5243,-3.47,,,
1998.5513,-1.5,,,
1998.6055,11.75,,,
1998.6327,34.32,,,
1998.6597,47.68,,,
1998.6873,43.39,,,
1998.7146,40.54,,,
1998.7411,18.89,,,
1998.7684,21.18,,,
1998.8226,53,,,
1998.85,2.99,,,
1998.8769,26.96,,,
1998.9042,41.57,,,
1998.9317,43.26,,,
1998.9588,33.73,,,
1998.9851,27.32,,,
1999.0114,23.9,,,
1999.0395,38.26,,,
1999.0942,35.64,,,
1999.1266,41.89,,,
1999.1484,31.98,,,
1999.1755,25.26,,,
