year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9617,-25.08,,,
1992.9874,-6.55,,,
1993.0128,-11.66,,,
1993.0413,3.96,,,
1993.0666,4.47,,,
1993.0994,-9.22,,,
1993.1205,-4.92,,,
1993.1508,-5.6,,,
1993.1769,-18.7,,,
1993.2048,-9.46,,,
1993.2313,-27.8,,,
1993.2863,-6.71,,,
1993.3133,-7.84,,,
1993.3402,-17.29,,,
1993.3679,-22.11,,,
1993.3941,-18.37,,,
1993.4223,-23.74,,,
1993.4488,1.21,,,
1993.476,-30.58,,,
1993.5018,-25.63,,,
1993.5299,-13.6,,,
1993.5841,-13.19,,,
1993.613,-8.63,,,
1993.64,-12.44,,,
1993.6663,-17.53,,,
1993.6933,-15.55,,,
1993.7192,-7.28,,,
1993.7474,-5.67,,,
1993.7747,-1.97,,,
1993.8014,-0.14,,,
1993.8564,13.33,,,
1993.8827,-10.22,,,
1993.9108,-19.37,,,
1993.9377,-9.81,,,
1993.9647,-9.23,,,
1993.992,-1.8,,,
1994.0194,2.38,,,
1994.0463,-5.95,,,
1994.0728,-13.27,,,
1994.1005,0.21,,,
1994.1276,1.39,,,
1994.155,5.49,,,
1994.1816,-8.49,,,
1994.2362,-8.96,,,
1994.2634,6.19,,,
1994.2906,3.03,,,
1994.3174,13.11,,,
1994.3451,16.16,,,
1994.3716,24.77,,,
1994.3992,29.64,,,
1994.4265,1.91,,,
1994.4528,-15.21,,,
1994.5068,27.76,,,
1994.535,5.09,,,
1994.5621,3.32,,,
1994.5894,8.58,,,
1994.6164,-2.61,,,
1994.6437,1.56,,,
1994.6707,5.92,,,
1994.698,11.27,,,
1994.7248,-1.02,,,
1994.7513,14.3,,,
1994.7791,-4.34,,,
1994.8063,-0.87,,,
1994.8328,4.01,,,
1994.8879,16.15,,,
1994.9151,15.51,,,
1994.9423,14.8,,,
1994.9691,18.63,,,
1994.9964,0.3,,,
1995.0236,12,,,
1995.0511,-5.03,,,
1995.0778,2.56,,,
1995.105,-3.86,,,
1995.1323,30.54,,,
1995.1588,39.6,,,
1995.2137,-18.27,,,
1995.2416,-8.08,,,
1995.2677,13.15,,,
1995.295,4.23,,,
1995.3212,-7.31,,,
1995.3768,8.39,,,
1995.4034,3.8,,,
1995.431,6.41,,,
1995.4579,7.78,,,
1995.4846,4.27,,,
1995.5394,3,,,
1995.5664,-9.94,,,
1995.5937,-16.88,,,
1995.6211,0.39,,,
1995.6479,-5.71,,,
1995.6753,-25.23,,,
1995.7023,-21.35,,,
1995.7293,-6.02,,,
1995.7562,-6.55,,,
1995.7838,-15.87,,,
1995.838,-29.6,,,
1995.8653,-23.4,,,
1995.8911,-9.53,,,
1995.9467,-6.82,,,
1995.9737,-22.65,,,
1995.9997,-40.02,,,
1996.0274,-28.8,,,
1996.0538,-11.4,,,
1996.0818,-7.08,,,
1996.1093,-20.71,,,
1996.164,-18.57,,,
1996.191,-13.99,,,
1996.2184,-31.98,,,
1996.2453,-32.35,,,
1996.2726,-23.57,,,
1996.2994,-42.98,,,
1996.327,-27.73,,,
1996.3541,-11.16,,,
1996.3814,-17.69,,,
1996.4083,-9.86,,,
1996.4347,-18.06,,,
1996.4898,-36.37,,,
1996.5166,-37,,,
1996.5442,-14.07,,,
1996.5712,-1.1,,,
1996.5982,-24.47,,,
1996.6253,-19.32,,,
1996.6523,-9.7,,,
1996.6793,-16.79,,,
1996.7057,-37.34,,,
1996.7338,-14.5,,,
1996.7605,2.66,,,
1996.8154,-0.95,,,
1996.8427,7.18,,,
1996.8693,2.31,,,
1996.8972,-25.11,,,
1996.9243,-25.79,,,
1996.9508,-6.61,,,
1996.9794,-17.2,,,
1997.0054,-29.44,,,
1997.0324,-14.46,,,
1997.06,11.35,,,
1997.0864,3.4,,,
1997.1411,-25.17,,,
1997.1684,-12.67,,,
