year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9614,-19.29,,,
1992.9865,-19.71,,,
1993.0123,-15.37,,,
1993.0407,-19.17,,,
1993.066,-23.7,,,
1993.0974,-26.99,,,
1993.1206,-24.87,,,
1993.1493,-18.75,,,
1993.1765,-15.68,,,
1993.2037,-16.09,,,
1993.2307,-19.51,,,
1993.2851,-22.5,,,
1993.3123,-16.02,,,
1993.3394,-15.46,,,
1993.3665,-12.36,,,
1993.3937,-16.88,,,
1993.4208,-21.27,,,
1993.448,-18.13,,,
1993.4751,-13.41,,,
1993.5021,-10.46,,,
1993.5294,-11.74,,,
1993.5837,-20.8,,,
1993.6117,-18.16,,,
1993.6381,-14.37,,,
1993.6652,-10.97,,,
1993.6923,-13.29,,,
1993.7189,-19.81,,,
1993.7466,-20.41,,,
1993.7738,-15.71,,,
1993.8009,-16.4,,,
1993.8553,-12.99,,,
1993.8824,-18.77,,,
1993.9098,-19.25,,,
1993.9367,-16.76,,,
1993.9639,-9.06,,,
1993.9907,-7.1,,,
1994.0181,-15.71,,,
1994.0452,-15.6,,,
1994.0723,-17.11,,,
1994.0995,-18.74,,,
1994.1267,-17.19,,,
1994.1539,-10.91,,,
1994.1809,-10.27,,,
1994.2353,-15.2,,,
1994.2624,-12.87,,,
1994.2896,-10.56,,,
1994.3168,-7.76,,,
1994.3439,-11.2,,,
1994.371,-15.69,,,
1994.3982,-18.42,,,
1994.4253,-15.24,,,
1994.4524,-8.72,,,
1994.5067,-15.35,,,
1994.5339,-14.38,,,
1994.561,-17.41,,,
1994.5882,-13.84,,,
1994.6154,-11.48,,,
1994.6425,-8.74,,,
1994.6697,-11.64,,,
1994.6968,-14.25,,,
1994.7239,-17.05,,,
1994.751,-15.96,,,
1994.7782,-14.3,,,
1994.8054,-8.12,,,
1994.8325,-9.7,,,
1994.8868,-17.31,,,
1994.914,-17.46,,,
1994.9412,-7.53,,,
1994.9684,-6.53,,,
1994.9955,-9.67,,,
1995.0226,-12.51,,,
1995.0497,-15.04,,,
1995.0769,-6.78,,,
1995.104,-7.45,,,
1995.1312,-8.83,,,
1995.1583,-9.28,,,
1995.2127,-8.07,,,
1995.2398,-13.38,,,
1995.2669,-7.74,,,
1995.2941,-5.42,,,
1995.3212,-9.11,,,
1995.3755,-13.13,,,
1995.4028,-9.66,,,
1995.4298,-3.9,,,
1995.4569,-6.92,,,
1995.4841,-12.39,,,
1995.5384,-16.53,,,
1995.5655,-12.51,,,
1995.5927,-9.98,,,
1995.6199,-7.25,,,
1995.647,-12.53,,,
1995.674,-14.01,,,
1995.7013,-11.3,,,
1995.7285,-4.26,,,
1995.7556,-7.31,,,
1995.7827,-8.98,,,
1995.8371,-13.34,,,
1995.8643,-12.46,,,
1995.8899,-8.19,,,
1995.9456,-5.31,,,
1995.9728,-5.91,,,
1995.9998,-11.46,,,
1996.027,-13.23,,,
1996.0533,-10.71,,,
1996.0814,-5.56,,,
1996.1084,-1.77,,,
1996.1631,-8.25,,,
1996.1899,-11.33,,,
1996.2171,-7.95,,,
1996.2442,-3.56,,,
1996.2714,-6.61,,,
1996.2985,-10.87,,,
1996.3257,-10.85,,,
1996.3529,-8.06,,,
1996.38,-5.06,,,
1996.4071,-2.71,,,
1996.4342,-5.28,,,
1996.4886,-10.65,,,
1996.5157,-8.46,,,
1996.5429,-3.89,,,
1996.57,0.08,,,
1996.5972,-3.53,,,
1996.6244,-10.12,,,
1996.6515,-11.81,,,
1996.6786,-13.69,,,
1996.7053,-7.81,,,
1996.7335,-1.68,,,
1996.76,-1.15,,,
1996.8144,4.67,,,
1996.8415,4.83,,,
1996.8687,1.67,,,
1996.8959,-4.55,,,
1996.923,-6.93,,,
1996.9501,-9.68,,,
1996.977,-15.59,,,
1997.0044,-11.44,,,
1997.0316,-5.34,,,
1997.0587,-5.53,,,
1997.0858,-6.05,,,
1997.1402,-9.83,,,
1997.1673,-7.63,,,
1997.1944,-5.92,,,
1997.2216,-3.74,,,
1997.2487,-5.44,,,
