year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9614,-28.27,,,
1992.9865,-12.08,,,
1993.0121,2.47,,,
1993.0405,-2.92,,,
1993.0659,-14.37,,,
1993.0974,-26.96,,,
1993.1202,-22.29,,,
1993.1491,-12.51,,,
1993.1764,-17.23,,,
1993.2035,-15.05,,,
1993.2306,-26.35,,,
1993.285,-40.85,,,
1993.312,-27.29,,,
1993.3392,-7.58,,,
1993.3664,-7.63,,,
1993.3934,-10.67,,,
1993.4205,-15.83,,,
1993.4478,-17.46,,,
1993.4749,-17.16,,,
1993.5021,-3.5,,,
1993.5292,-4.1,,,
1993.5837,-32.72,,,
1993.6119,-30.99,,,
1993.6378,-16.64,,,
1993.665,1.03,,,
1993.6921,0.67,,,
1993.7187,-16.12,,,
1993.7464,-21.53,,,
1993.7736,-16.28,,,
1993.8007,-17.51,,,
1993.8553,3.52,,,
1993.8822,-11.84,,,
1993.9097,-33.35,,,
1993.9367,-27.71,,,
1993.9637,-17.9,,,
1993.9908,-16.21,,,
1994.0179,-23.62,,,
1994.0452,-20.34,,,
1994.0721,-14.23,,,
1994.0993,-18.13,,,
1994.1265,-17.51,,,
1994.1537,-18.85,,,
1994.1806,-16.62,,,
1994.2351,-14.28,,,
1994.2622,-18.58,,,
1994.2894,-18.08,,,
1994.3167,-22.15,,,
1994.3437,-5.79,,,
1994.3708,-11,,,
1994.398,-21.38,,,
1994.4251,-16.5,,,
1994.4522,-7.41,,,
1994.5065,-28.14,,,
1994.5336,-20.66,,,
1994.5608,-14.63,,,
1994.588,5.04,,,
1994.6151,4.26,,,
1994.6422,-9.7,,,
1994.6694,-2.9,,,
1994.6966,-8.04,,,
1994.7238,-15.4,,,
1994.7508,-10.96,,,
1994.7781,-4.66,,,
1994.8052,-5.74,,,
1994.8323,-11.02,,,
1994.8867,-12.42,,,
1994.9138,-10.31,,,
1994.941,-8.27,,,
1994.9682,-17.26,,,
1994.9952,-5.75,,,
1995.0224,6.85,,,
1995.0496,-6.04,,,
1995.0768,-13.43,,,
1995.1038,-20.2,,,
1995.1309,-19.65,,,
1995.1581,-9.17,,,
1995.2125,-16.68,,,
1995.2397,-8,,,
1995.2667,-2.05,,,
1995.2939,-7.2,,,
1995.321,-2.82,,,
1995.3753,-15.05,,,
1995.4027,-17.67,,,
1995.4296,18.04,,,
1995.4567,-1.05,,,
1995.4838,-18.22,,,
1995.5383,-24.19,,,
1995.5653,-6.52,,,
1995.5925,-4.8,,,
1995.6195,-13.04,,,
1995.6467,-20.97,,,
1995.6741,-7.94,,,
1995.701,-11.35,,,
1995.7283,6.21,,,
1995.7555,-7.41,,,
1995.7825,-15.15,,,
1995.8369,-6.08,,,
1995.8641,-12.72,,,
1995.8898,-24.31,,,
1995.9455,-18.93,,,
1995.9726,-2.21,,,
1996.0001,-1.11,,,
1996.0268,0.04,,,
1996.053,-8.7,,,
1996.0813,-15.82,,,
1996.1082,3.84,,,
1996.163,-12.2,,,
1996.1898,-8.11,,,
1996.217,-5.63,,,
1996.2442,3.29,,,
1996.2712,-11.22,,,
1996.2983,-16.21,,,
1996.3255,-23.48,,,
1996.3527,-17.9,,,
1996.3798,-22,,,
1996.407,-5.68,,,
1996.4341,-10.52,,,
1996.4884,-7.84,,,
1996.5156,3.01,,,
1996.5427,-20.66,,,
1996.57,-29.8,,,
1996.597,-4.65,,,
1996.6242,-7.84,,,
1996.6514,-24.85,,,
1996.6785,-38.2,,,
1996.7052,-19.47,,,
1996.7332,-5.19,,,
1996.7598,-6.45,,,
1996.8142,1.79,,,
1996.8413,-2.94,,,
1996.8685,-16.79,,,
1996.8958,2.21,,,
1996.9229,1.83,,,
1996.9501,-6.11,,,
1996.9768,-35.64,,,
1997.0042,-31.62,,,
1997.0314,-8.59,,,
1997.0585,-3.44,,,
1997.0857,-15.2,,,
1997.14,-23.54,,,
1997.1671,-28.6,,,
1997.1943,-28.39,,,
1997.2216,-8.08,,,
1997.2485,-7.61,,,
1997.2757,-13.47,,,
1997.3029,-18.91,,,
1997.33,-23.82,,,
1997.3571,-0.79,,,
1997.3842,-21.84,,,
1997.4113,-36.29,,,
1997.4658,-14.81,,,
1997.4926,-2.79,,,
1997.52,-3.14,,,
1997.5473,-6.31,,,
1997.5743,-13.62,,,
1997.6287,-19.07,,,
1997.6557,1.55,,,
1997.6828,7.24,,,
1997.7099,-1.81,,,
1997.7373,-8.38,,,
1997.7915,-8.16,,,
1997.8187,1.95,,,
1997.8459,8.19,,,
1997.8729,2.44,,,
1997.8998,-10.34,,,
1997.9272,-4.13,,,
1997.9545,-4.67,,,
1997.9816,-7.11,,,
1998.0081,-4.52,,,
1998.0359,-9.2,,,
1998.0901,-2.07,,,
1998.1173,-8.39,,,
1998.1444,4.93,,,
1998.1715,12.69,,,
1998.1987,15.23,,,
1998.226,17.18,,,
1998.253,14.29,,,
1998.2789,22.27,,,
1998.3073,17.49,,,
1998.3344,17.14,,,
1998.3616,13.93,,,
1998.4156,-22.99,,,
1998.443,-16.64,,,
1998.4702,-4.45,,,
1998.4975,14.82,,,
1998.5246,13.13,,,
1998.5516,-0.39,,,
