year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9615,-46.34,,,
1992.9867,-45.4,,,
1993.0125,-61.01,,,
1993.04,-76.58,,,
1993.0665,-68.02,,,
1993.0971,-35.9,,,
1993.121,-51.51,,,
1993.1491,-54.51,,,
1993.1762,-87.17,,,
1993.2037,-84.66,,,
1993.2306,-84.84,,,
1993.2853,-96.97,,,
1993.3124,-99.52,,,
1993.4208,-98.31,,,
1993.4479,-82.7,,,
1993.4753,-76.46,,,
1993.5012,-71.67,,,
1993.5294,-64.19,,,
1993.5835,-67.86,,,
1993.6113,-64.79,,,
1993.6379,-74.7,,,
1993.6653,-66.35,,,
1993.6921,-64.25,,,
1993.7193,-85.78,,,
1993.7465,-90.64,,,
1993.7734,-77.85,,,
1993.801,-68.56,,,
1993.8551,-78.29,,,
1993.8825,-72.16,,,
1993.9097,-78.08,,,
1993.9372,-79.28,,,
1993.9639,-38.96,,,
1993.991,-21.68,,,
1994.0178,-48.81,,,
1994.0452,-58.79,,,
1994.0718,-40.41,,,
1994.0992,-68.63,,,
1994.1268,-39.67,,,
1994.1539,-7.42,,,
1994.1805,-23.65,,,
1994.2355,-24.17,,,
1994.2623,-19.78,,,
1994.2897,-43.17,,,
1994.3169,-51.37,,,
1994.3444,-50.56,,,
1994.3707,-71.44,,,
1994.3979,-82.65,,,
1994.4253,-65.77,,,
1994.4524,-57.77,,,
1994.5063,-78.8,,,
1994.5339,-64.54,,,
1994.561,-92.39,,,
1994.5881,-91.79,,,
1994.7239,-97.01,,,
1994.7509,-73.57,,,
1994.7783,-79.09,,,
1994.8055,-86.41,,,
1994.8325,-82.13,,,
1994.8871,-97.98,,,
1994.914,-92.67,,,
1994.9414,-66.99,,,
1994.9684,-80.51,,,
1995.0226,-89.29,,,
1995.0496,-68.29,,,
1995.077,-46.06,,,
1995.1036,-47.96,,,
1995.1312,-69.03,,,
1995.158,-40.55,,,
1995.2125,-54.73,,,
1995.2396,-46.9,,,
1995.2667,-30.66,,,
1995.2941,-36.94,,,
1995.321,-41.82,,,
1995.3757,-42.97,,,
1995.4025,-48.42,,,
1995.4299,-44.68,,,
1995.4571,-48.36,,,
1995.4842,-60.17,,,
1995.5385,-16.32,,,
1995.5658,-29.62,,,
1995.5926,-50.22,,,
1995.6198,-48.85,,,
1995.647,-43.22,,,
1995.6733,-9.41,,,
1995.7012,-13.08,,,
1995.7286,6.08,,,
1995.7555,4.07,,,
1995.783,-3.17,,,
1995.8369,-0.42,,,
1995.8642,15.1,,,
1995.8906,33.88,,,
1995.9461,75.29,,,
1995.9726,49.27,,,
1995.9988,15.72,,,
1996.0266,10.88,,,
1996.0534,-1.91,,,
1996.0812,-0.22,,,
1996.1086,-3.96,,,
1996.163,21.41,,,
1996.1902,-10.42,,,
1996.217,-27.56,,,
1996.2442,-17.62,,,
1996.2712,8.82,,,
1996.2985,11.73,,,
1996.3256,16.73,,,
1996.3528,29.52,,,
1996.3803,15.06,,,
1996.4073,13.62,,,
1996.4343,18.73,,,
1996.4885,25.62,,,
1996.5158,27.13,,,
1996.5431,48.94,,,
1996.5699,41.34,,,
1996.5974,32.2,,,
1996.6241,36.06,,,
1996.6511,41.55,,,
1996.6787,36.97,,,
1996.7053,48.19,,,
1996.7343,51.22,,,
1996.7598,47.92,,,
1996.8145,54.27,,,
1996.8416,60.17,,,
1996.8686,42.84,,,
1996.8959,43.85,,,
1996.9233,41.03,,,
1996.9497,31.03,,,
1996.9771,53.61,,,
1997.0043,55.54,,,
1997.0312,16.61,,,
1997.0585,-1.6,,,
1997.0861,3.12,,,
1997.1401,52.22,,,
1997.1675,59.07,,,
1997.1944,-8.33,,,
1997.222,-31.28,,,
1997.2486,-28.04,,,
1997.2759,-64.92,,,
1997.3031,-77.6,,,
1997.33,-66.06,,,
1997.3574,-63.09,,,
1997.3846,-57.91,,,
1997.4116,-28.95,,,
1997.4658,-78.2,,,
1997.4919,-77.29,,,
1997.5204,-68.53,,,
1997.5474,-80.95,,,
1997.5745,-89.47,,,
1997.6559,-99.74,,,
1997.6828,-91.75,,,
1998.1718,-82.47,,,
1998.2256,-75.39,,,
1998.2531,-89.9,,,
1998.2789,-74.16,,,
1998.3079,-41.63,,,
1998.3347,-36.3,,,
1998.3612,-37.98,,,
1998.4157,11.79,,,
1998.4437,20.8,,,
1998.4706,34.6,,,
1998.4977,41.75,,,
1998.5246,31.81,,,
1998.5509,41.9,,,
1998.6061,54.32,,,
1998.633,51.95,,,
1998.6604,55.73,,,
1998.6876,49.1,,,
1998.7145,44.25,,,
1998.742,71.59,,,
1998.7687,94.88,,,
1998.8233,101.16,,,
1998.8504,104.17,,,
1998.8775,111.27,,,
1998.9044,96.12,,,
1998.9318,107.66,,,
1998.9591,77.2,,,
1998.9861,79.03,,,
1999.0126,52.67,,,
1999.0407,70.25,,,
1999.0947,69.23,,,
1999.1264,103.42,,,
1999.1491,83.09,,,
1999.176,53.72,,,
1999.2035,47.61,,,
1999.2308,73.6,,,
1999.2568,89.59,,,
1999.2853,90.43,,,
1999.3391,54.99,,,
1999.3662,53.72,,,
1999.3932,70.8,,,
1999.4204,73.01,,,
1999.4478,64.35,,,
1999.475,48.11,,,
1999.502,33.74,,,
1999.5293,42.38,,,
1999.5563,27.98,,,
1999.5835,37.84,,,
1999.6101,19.55,,,
1999.6378,27.5,,,
1999.6921,26.85,,,
1999.7193,35.62,,,
1999.7462,39.78,,,
1999.7733,64.7,,,
1999.8007,78.38,,,
1999.8273,83.34,,,
1999.8547,86.19,,,
1999.8816,79.82,,,
1999.9091,69.04,,,
1999.9633,85.29,,,
1999.9904,97.24,,,
2000.0183,55.52,,,
2000.045,40.53,,,
2000.0723,63.06,,,
2000.0992,62.57,,,
2000.1262,75.92,,,
2000.1533,99.94,,,
2000.1805,94.05,,,
2000.2078,92.1,,,
2000.2347,103.09,,,
2000.2893,105.42,,,
2000.3166,114.73,,,
2000.3437,79.38,,,
2000.3707,81.66,,,
2000.3976,77.82,,,
2000.425,53.6,,,
2000.4523,51.28,,,
2000.4796,56.08,,,
2000.5063,58.7,,,
2000.5336,79.66,,,
2000.5876,56.74,,,
2000.6149,57.44,,,
2000.642,70.71,,,
2000.6692,68.47,,,
2000.6965,49.66,,,
2000.7235,60.14,,,
2000.7507,68.11,,,
2000.7778,68.54,,,
2000.8051,58.38,,,
2000.8597,66.02,,,
2000.8858,59.86,,,
2000.9148,79.24,,,
2000.9408,97.59,,,
2000.9678,64.64,,,
2000.9952,47.3,,,
2001.0225,49.73,,,
2001.0764,47.97,,,
2001.104,97.24,,,
2001.1311,122.17,,,
2001.1582,104.47,,,
2001.1851,88.92,,,
2001.2125,71.37,,,
2001.2388,53.94,,,
2001.2668,68.86,,,
2001.2938,54.58,,,
2001.3209,43.84,,,
2001.3481,60.13,,,
2001.3753,57.16,,,
2001.4018,35.17,,,
2001.4294,51.5,,,
2001.4563,52.48,,,
2001.4837,42.32,,,
2001.5109,44.04,,,
2001.5377,38.94,,,
2001.5654,18.19,,,
