year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9613,-15.79,,,
1992.9864,-18.04,,,
1993.0123,-9.68,,,
1993.0407,-8.44,,,
1993.066,-10.1,,,
1993.0975,-13.1,,,
1993.1206,-14.13,,,
1993.1493,-8.64,,,
1993.1764,0.83,,,
1993.2037,2,,,
1993.2305,-0.76,,,
1993.2851,-3.66,,,
1993.3123,1.62,,,
1993.3394,-4.54,,,
1993.3666,-1.92,,,
1993.3938,-7.18,,,
1993.4208,-18.73,,,
1993.448,-17.23,,,
1993.4752,-14.08,,,
1993.5021,-9.08,,,
1993.5294,-4.11,,,
1993.5837,-28.09,,,
1993.6118,-24.2,,,
1993.638,-16.66,,,
1993.6652,-7.05,,,
1993.6924,-7.69,,,
1993.7189,-19.58,,,
1993.7464,-22.08,,,
1993.7737,-12.91,,,
1993.8009,-11.73,,,
1993.8553,-11.96,,,
1993.8824,-16.29,,,
1993.9099,-19.74,,,
1993.9368,-22.76,,,
1993.9638,-13.45,,,
1993.9908,-9.8,,,
1994.018,-18.66,,,
1994.0451,-14.56,,,
1994.0723,-18.99,,,
1994.0995,-28.33,,,
1994.1269,-31.64,,,
1994.1539,-24.97,,,
1994.1808,-16.9,,,
1994.2352,-14.5,,,
1994.2625,-14.12,,,
1994.2895,-10.98,,,
1994.3168,-8.76,,,
1994.3438,-11.97,,,
1994.371,-21.91,,,
1994.3982,-24.64,,,
1994.4253,-17.09,,,
1994.4525,-3.92,,,
1994.5068,-14.03,,,
1994.5339,-13.97,,,
1994.5612,-17.5,,,
1994.5883,-10.53,,,
1994.6154,-3.34,,,
1994.6426,-4.22,,,
1994.6696,-5.24,,,
1994.6967,-6.98,,,
1994.7239,-6.75,,,
1994.7513,0.16,,,
1994.7782,2.73,,,
1994.8055,11.27,,,
1994.8326,14.51,,,
1994.8868,9.37,,,
1994.9139,8.74,,,
1994.9412,12.48,,,
1994.9683,9.48,,,
1994.9954,8.77,,,
1995.0226,8.09,,,
1995.0496,3.12,,,
1995.0768,7.2,,,
1995.1041,4.36,,,
1995.1311,-2,,,
1995.1584,5.18,,,
1995.2126,-7.59,,,
1995.2398,-13.13,,,
1995.2669,-6.75,,,
1995.2941,-4.09,,,
1995.3214,-7.93,,,
1995.3755,-12.4,,,
1995.4029,-8.89,,,
1995.4298,-1.55,,,
1995.457,-2.01,,,
1995.4841,-8.79,,,
1995.5385,-10.95,,,
1995.5656,-7.3,,,
1995.5927,-9.17,,,
1995.6199,-7.01,,,
1995.647,-20.97,,,
1995.6739,-29.13,,,
1995.7013,-21.62,,,
1995.7285,-13.14,,,
1995.7556,-17.89,,,
1995.7828,-20.73,,,
1995.8371,-26.67,,,
1995.8642,-22.67,,,
1995.89,-18.53,,,
1995.9456,-15.97,,,
1995.9727,-10.6,,,
1995.9999,-7.67,,,
1996.027,-11.3,,,
1996.0528,-8.18,,,
1996.0813,-5.54,,,
1996.1086,1.01,,,
1996.1633,-3.17,,,
1996.1899,-11.98,,,
1996.2172,-7.4,,,
1996.2444,-1.87,,,
1996.2714,-1.78,,,
1996.2985,-4.9,,,
1996.3257,-5.29,,,
1996.3528,-2.31,,,
1996.38,-0.87,,,
1996.4072,8.14,,,
1996.4343,4.29,,,
1996.4887,-8.77,,,
1996.5159,-0.26,,,
1996.543,3.05,,,
1996.57,5.57,,,
1996.5972,0.56,,,
1996.6245,-5.31,,,
1996.6515,-8.24,,,
1996.6787,-13.29,,,
1996.7054,-6.67,,,
1996.7336,-2.99,,,
1996.76,-0.54,,,
1996.8143,-0.63,,,
1996.8415,4.59,,,
1996.8685,-0.73,,,
1996.8958,-7.92,,,
1996.923,-5.73,,,
1996.9502,-5.48,,,
1996.977,-9.89,,,
1997.0044,-3.12,,,
1997.0315,8.92,,,
1997.0587,14.64,,,
1997.0858,22.01,,,
1997.1402,11.57,,,
1997.1673,13.84,,,
1997.1943,19.65,,,
1997.2215,33.78,,,
1997.2487,37.1,,,
1997.2758,26.79,,,
1997.3031,21.9,,,
1997.3302,26.85,,,
1997.3574,33.28,,,
1997.3844,38.65,,,
1997.4116,41.28,,,
1997.4659,25.07,,,
1997.4929,32.04,,,
1997.5202,33.45,,,
1997.5475,36.02,,,
1997.5744,29.32,,,
1997.6288,30.22,,,
1997.6561,28.86,,,
1997.6831,32.2,,,
1997.7103,35.15,,,
1997.7373,42.18,,,
1997.7916,40.09,,,
1997.8191,35.45,,,
1997.8458,38.87,,,
1997.8732,36.05,,,
1997.9001,23.92,,,
1997.9274,19.75,,,
1997.9546,17.3,,,
1997.9816,16.77,,,
1998.0084,9.46,,,
1998.036,4.64,,,
1998.0901,-7.57,,,
1998.1174,-12.35,,,
1998.1446,-15.13,,,
1998.1718,-13.16,,,
1998.1988,-2.02,,,
1998.226,-3.64,,,
1998.2531,-10.14,,,
1998.2788,-15.73,,,
1998.3075,-10.29,,,
1998.3347,-11.5,,,
1998.3619,-17.13,,,
1998.4157,-31.09,,,
1998.4431,-36.96,,,
1998.4703,-30.25,,,
1998.4975,-30.66,,,
1998.5247,-37.07,,,
1998.5518,-43.41,,,
1998.6062,-40.44,,,
1998.6333,-42.6,,,
1998.6604,-37.5,,,
1998.6875,-36.11,,,
1998.7147,-40.23,,,
1998.7419,-40.57,,,
1998.7689,-47.58,,,
1998.8233,-39.62,,,
1998.8505,-39.11,,,
1998.8777,-50.54,,,
1998.9047,-55.6,,,
1998.9318,-42.95,,,
1998.9589,-42.12,,,
1998.9863,-33.55,,,
1999.0135,-35.4,,,
1999.0406,-31.35,,,
1999.0948,-38.44,,,
1999.1256,-26.42,,,
1999.1493,-25.04,,,
1999.1763,-26.57,,,
1999.2034,-31.5,,,
1999.2306,-25.56,,,
1999.2575,-26.07,,,
1999.2849,-26.46,,,
1999.3391,-19.04,,,
1999.3663,-22.13,,,
1999.3934,-20.59,,,
1999.4206,-13.93,,,
1999.4478,-13.43,,,
1999.4748,-11.69,,,
1999.502,-7.08,,,
1999.5292,-16.11,,,
1999.5567,-22.3,,,
1999.5835,-20.77,,,
1999.6106,-19.65,,,
1999.6378,-13.03,,,
1999.692,-29.13,,,
1999.7193,-21.25,,,
1999.7462,-20.06,,,
1999.7735,-13.59,,,
1999.8009,-14.63,,,
1999.8278,-21.37,,,
1999.8549,-31.17,,,
1999.8822,-26.1,,,
1999.9093,-18.19,,,
1999.9635,-14.29,,,
1999.9906,-13.63,,,
2000.0178,-25.49,,,
2000.045,-20.37,,,
2000.072,-5.22,,,
2000.0992,-6.45,,,
2000.1264,-1.57,,,
2000.1535,-0.58,,,
2000.1807,-7.4,,,
2000.2078,-11.49,,,
2000.235,2.31,,,
2000.2893,2.32,,,
2000.3165,-5.36,,,
2000.3437,-13.47,,,
2000.3708,-16.42,,,
2000.3979,-2.45,,,
2000.4251,6.71,,,
2000.4523,3.28,,,
2000.4793,-1.73,,,
2000.5065,-8.82,,,
2000.5338,-6.37,,,
2000.588,1.4,,,
2000.6149,2.12,,,
2000.6423,-10.78,,,
2000.6693,-22.3,,,
2000.6965,-15.25,,,
2000.7234,-2.97,,,
2000.7508,-1.67,,,
2000.778,-9.15,,,
2000.8051,-14.71,,,
2000.8596,-9.38,,,
2000.8862,-8.47,,,
2000.9146,-7.99,,,
2000.941,-15.05,,,
2000.9679,-14.88,,,
2000.9953,-12.84,,,
2001.0223,-5.55,,,
2001.0765,-2.14,,,
2001.1038,-9.57,,,
2001.131,-11.7,,,
2001.158,-9.83,,,
2001.1851,-1.94,,,
2001.2125,-4.49,,,
2001.2394,-0.23,,,
2001.2665,-2.95,,,
2001.2936,-4.29,,,
2001.321,-17.93,,,
2001.3482,-14.2,,,
2001.3753,-1.3,,,
2001.4024,-4.21,,,
2001.4296,-3.35,,,
2001.4566,-7.12,,,
2001.4841,-3.59,,,
2001.5109,3.12,,,
2001.5381,8.16,,,
2001.5654,9.71,,,
2001.5925,10.95,,,
2001.6196,-7.47,,,
2001.6467,-11.33,,,
2001.6739,-8.23,,,
2001.7011,9.01,,,
2001.7283,4.49,,,
2001.7554,-0.16,,,
2001.7824,-7.69,,,
2001.8096,-12.28,,,
2001.8367,-3.56,,,
2001.864,3.93,,,
2001.8919,-2.3,,,
2001.9182,-7.43,,,
2001.9453,-17.81,,,
2001.9724,-12.34,,,
2001.9995,5.87,,,
2002.027,5.1,,,
2002.0539,,3.73,,
2002.054,5.67,,,
2002.0811,5.74,,,
2002.082,,8.94,,
2002.1082,0.38,10.47,,
2002.1352,,16.83,,
2002.1354,7.23,,,
2002.1625,,14.74,,
2002.1626,13.01,,,
2002.1895,13.11,,,
2002.1898,,9.76,,
2002.2168,14.5,,,
2002.2169,,9.14,,
2002.2439,7.34,6.57,,
2002.271,-0.58,,,
2002.2711,,7.36,,
2002.2985,,-1.31,,
2002.299,-7.9,,,
2002.3254,2.2,,,
2002.3256,,0.93,,
2002.3526,6.28,0.78,,
2002.3797,3.92,2.65,,
2002.407,6.83,8.12,,
2002.434,1.58,,,
2002.4341,,4.67,,
2002.461,10.58,,,
2002.4611,,9.72,,
2002.4883,20.43,,,
2002.4884,,10.69,,
2002.5154,,9.68,,
2002.5427,20.16,17.29,,
2002.5698,21.68,23.8,,
2002.5969,16.5,20.96,,
2002.6237,20.5,,,
2002.624,,20.57,,
2002.6514,,12.2,,
2002.6552,17.9,,,
2002.6781,20,,,
2002.6784,,12.53,,
2002.7055,,21.24,,
2002.7062,24.5,,,
2002.7325,24.37,,,
2002.7327,,23.32,,
2002.76,11.76,18.36,,
2002.786,26.88,,,
2002.7869,,27.42,,
2002.8139,35.39,,,
2002.814,,31.76,,
2002.8413,31.49,24.06,,
2002.8684,27.47,,,
2002.8685,,20.52,,
2002.8938,,18.67,,
2002.8959,14.99,,,
2002.9225,11.62,,,
