year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.962,-18.19,,,
1992.9873,-10.08,,,
1993.0129,-17.43,,,
1993.0413,-0.48,,,
1993.0667,-20.05,,,
1993.0978,-11.62,,,
1993.1213,-7.84,,,
1993.1501,-15.74,,,
1993.1773,-18.74,,,
1993.2041,-10.24,,,
1993.2315,-25.18,,,
1993.2857,-11.16,,,
1993.3129,-19.69,,,
1993.34,-20.36,,,
1993.3672,-10.35,,,
1993.3943,-11.06,,,
1993.4213,-22.85,,,
1993.4486,-12.08,,,
1993.4759,-25.24,,,
1993.5027,-18.28,,,
1993.5301,-15.5,,,
1993.5843,-19.88,,,
1993.6121,-24.62,,,
1993.6389,-12.74,,,
1993.6659,-21.2,,,
1993.6929,-23.39,,,
1993.7195,-19.81,,,
1993.7471,-19.86,,,
1993.7743,-16.35,,,
1993.8016,-22.33,,,
1993.8559,-12.43,,,
1993.8829,-23.53,,,
1993.9103,-13.09,,,
1993.9371,-12.61,,,
1993.9646,-17.03,,,
1993.9912,-5.78,,,
1994.0188,-21.91,,,
1994.0454,-22.61,,,
1994.0729,-31.18,,,
1994.1001,-23.02,,,
1994.1272,-21.39,,,
1994.1545,-17.89,,,
1994.1817,-22.33,,,
1994.2358,-25.61,,,
1994.2632,-14.5,,,
1994.2902,-28.84,,,
1994.3175,-18.08,,,
1994.3444,-8.46,,,
1994.3717,-7.28,,,
1994.3988,-5.9,,,
1994.4259,-15.03,,,
1994.4531,-16.13,,,
1994.5073,-4.27,,,
1994.5345,-31.31,,,
1994.5616,-37.62,,,
1994.5889,-15.64,,,
1994.6159,-15.52,,,
1994.6431,-17.72,,,
1994.6703,-10.71,,,
1994.6974,-4.46,,,
1994.7246,-13.66,,,
1994.7517,-8.8,,,
1994.7787,-11.25,,,
1994.8062,-17,,,
1994.8332,-16.52,,,
1994.8875,-1.62,,,
1994.9145,-6.54,,,
1994.9418,0.4,,,
1994.9691,-2.04,,,
1994.9964,-12.35,,,
1995.0234,-10.03,,,
1995.0503,-13.02,,,
1995.0772,-17.36,,,
1995.1044,-14.63,,,
1995.1318,3.33,,,
1995.1587,18.91,,,
1995.2132,-14.44,,,
1995.2406,-5.33,,,
1995.2675,3.86,,,
1995.2947,9.04,,,
1995.3218,0.8,,,
1995.3761,11.38,,,
1995.4033,8.92,,,
1995.4304,-2.73,,,
1995.4576,-6.82,,,
1995.4847,-20.75,,,
1995.5391,-7.29,,,
1995.5662,-13.52,,,
1995.5933,-9.33,,,
1995.6204,15.78,,,
1995.6476,4.95,,,
1995.6746,-3.07,,,
1995.7019,-3.48,,,
1995.7291,1.93,,,
1995.7562,8.82,,,
1995.7834,7.01,,,
1995.8377,-12.56,,,
1995.8648,-6.36,,,
1995.8905,-3.71,,,
1995.9462,1.02,,,
1995.9736,-10.24,,,
1996.0002,-25.9,,,
1996.028,-19.96,,,
1996.0543,-19.11,,,
1996.0817,-17.02,,,
1996.1092,-15.64,,,
1996.1637,-6.97,,,
1996.1904,-11.91,,,
1996.2177,-21.44,,,
1996.2448,-28.53,,,
1996.272,-7.49,,,
1996.2993,-15.02,,,
1996.3263,-6.76,,,
1996.3536,-7.29,,,
1996.3805,-0.6,,,
1996.4077,12.22,,,
1996.4347,-16.5,,,
1996.4891,-27.29,,,
1996.5164,-5.17,,,
1996.5434,6.02,,,
1996.5707,8.51,,,
1996.598,-20.51,,,
1996.6251,-13.57,,,
1996.6521,-6.75,,,
1996.6792,-1.65,,,
1996.7057,-5.74,,,
1996.7339,4.45,,,
1996.7607,3.49,,,
1996.8152,5.6,,,
1996.8422,2.85,,,
1996.8691,8.74,,,
1996.8965,-8.76,,,
1996.9237,-13.63,,,
1996.9509,-10.85,,,
1996.9773,-9.91,,,
1997.005,-8.31,,,
1997.0323,15.71,,,
1997.0593,23.68,,,
1997.0864,2.27,,,
1997.1413,-16.83,,,
1997.1675,-5.2,,,
1997.1952,14.57,,,
1997.2222,-0.47,,,
1997.2493,-12.43,,,
1997.2765,-11.38,,,
1997.3037,-6.4,,,
1997.3309,6.04,,,
1997.3578,14.33,,,
1997.3852,13.94,,,
1997.4122,2.07,,,
1997.4665,-18.24,,,
1997.4935,-6.65,,,
1997.5208,-15.54,,,
1997.5479,-10.74,,,
1997.5751,-11.21,,,
1997.6293,-15.83,,,
1997.6566,-7.71,,,
1997.6835,2.38,,,
1997.7109,-1.38,,,
1997.7381,-11.32,,,
1997.7922,-4.64,,,
1997.8194,-10.67,,,
1997.8465,-10.84,,,
1997.8737,-10.35,,,
1997.9008,-27.05,,,
1997.928,-31.09,,,
1997.955,-28.5,,,
1997.9822,-23.48,,,
1998.0094,-7.67,,,
1998.0367,9.59,,,
1998.091,-25.8,,,
1998.118,-6.72,,,
1998.1452,-10.43,,,
1998.1723,-2.27,,,
1998.1995,0.56,,,
1998.2267,-21.72,,,
1998.254,0.95,,,
1998.2797,-7.42,,,
1998.3081,3.68,,,
1998.3353,9.42,,,
1998.3624,19.07,,,
1998.4164,-8.64,,,
1998.4438,-12.47,,,
1998.471,5.99,,,
1998.4982,10.86,,,
1998.5253,20.54,,,
1998.5525,22.66,,,
1998.6068,-1.2,,,
1998.6339,10.01,,,
1998.6611,19.27,,,
1998.688,18.01,,,
1998.7154,15.05,,,
1998.7424,-10.06,,,
1998.7693,-4.49,,,
1998.8239,24.15,,,
1998.8508,8.31,,,
1998.8782,-3.14,,,
1998.9052,-4.68,,,
1998.9324,-3.91,,,
1998.9599,17.11,,,
1998.9867,21.32,,,
1999.0142,16.9,,,
1999.0411,5.86,,,
1999.0956,22.81,,,
1999.1263,22.7,,,
1999.1495,32.04,,,
1999.1768,11.08,,,
1999.2041,17.16,,,
1999.231,-9.42,,,
1999.2584,5.08,,,
1999.2853,30.94,,,
1999.3399,16.74,,,
1999.3668,2.1,,,
1999.3939,-0.19,,,
1999.4213,15.95,,,
1999.4483,19.31,,,
1999.4755,14.39,,,
1999.5026,21.36,,,
1999.5297,17.04,,,
1999.5569,14.92,,,
1999.5841,23.3,,,
1999.6112,22.68,,,
1999.6383,23.94,,,
1999.6926,14.37,,,
1999.7197,10.56,,,
1999.7466,21.47,,,
1999.7741,6.95,,,
1999.8012,12.24,,,
1999.8285,5.23,,,
1999.8556,15.71,,,
1999.8827,9.32,,,
1999.9098,11.36,,,
1999.9641,14.1,,,
1999.9912,11.02,,,
2000.0184,36.86,,,
2000.0454,31.99,,,
2000.0727,23.67,,,
2000.0994,29.2,,,
2000.1272,42.01,,,
2000.1543,15.97,,,
2000.1814,15.72,,,
2000.2085,7.6,,,
2000.2356,5.97,,,
2000.2898,30.46,,,
2000.3171,23.64,,,
2000.3442,8.96,,,
2000.3714,20.37,,,
2000.3984,24.37,,,
2000.4256,19.94,,,
2000.4528,20.05,,,
2000.4799,15.89,,,
2000.5071,10.6,,,
2000.5343,13.17,,,
2000.5885,22.9,,,
2000.6154,15.15,,,
2000.6429,6.04,,,
2000.6699,-6.41,,,
2000.6972,10.38,,,
2000.7239,11.73,,,
2000.7515,15.31,,,
