year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9611,12.78,,,
1992.9865,-5.04,,,
1993.0126,-3.67,,,
1993.0408,-20.94,,,
1993.0659,-31.31,,,
1993.0973,-45.07,,,
1993.1212,-22.15,,,
1993.1496,-12.28,,,
1993.1768,4.23,,,
1993.204,-5.48,,,
1993.2308,3.38,,,
1993.2852,-2,,,
1993.3125,5.25,,,
1993.3395,-0.05,,,
1993.3667,-2.39,,,
1993.3938,-19.86,,,
1993.4209,-24.56,,,
1993.448,-17.03,,,
1993.4753,-8.73,,,
1993.502,-11.68,,,
1993.5295,-7.08,,,
1993.5836,-7.12,,,
1993.6119,-5.93,,,
1993.6381,6.48,,,
1993.6653,-6.36,,,
1993.6925,-28.19,,,
1993.7193,-35.29,,,
1993.7468,-15.9,,,
1993.774,-18.52,,,
1993.801,-12.4,,,
1993.8553,-22.23,,,
1993.8826,-19.53,,,
1993.9099,-23.98,,,
1993.9366,-3.22,,,
1993.9638,8.27,,,
1993.9906,7.64,,,
1994.018,-0.65,,,
1994.0455,-4.58,,,
1994.0722,-6.76,,,
1994.0997,-10.78,,,
1994.1268,4.4,,,
1994.1542,0.77,,,
1994.1808,-0.17,,,
1994.2354,-17.24,,,
1994.2626,1.87,,,
1994.2898,2.42,,,
1994.3169,-0.03,,,
1994.344,-10.25,,,
1994.3712,-13.91,,,
1994.3981,-18.88,,,
1994.4253,-12.93,,,
1994.4525,-6.47,,,
1994.5067,-15.76,,,
1994.534,2.61,,,
1994.5611,-6.69,,,
1994.5882,-15.21,,,
1994.6155,-2.02,,,
1994.6426,14.84,,,
1994.6697,11.95,,,
1994.6968,18.42,,,
1994.724,12.21,,,
1994.7511,-18.1,,,
1994.7783,-6.15,,,
1994.8055,-1.22,,,
1994.8325,9.92,,,
1994.8869,2.68,,,
1994.9141,-12.35,,,
1994.9412,6.44,,,
1994.9686,15.19,,,
1994.9954,-3.92,,,
1995.0227,-33.31,,,
1995.0497,-12.41,,,
1995.077,-13.95,,,
1995.1041,-0.52,,,
1995.1314,3.45,,,
1995.1585,-17.65,,,
1995.2128,-21.82,,,
1995.2399,-8.28,,,
1995.2671,-5.9,,,
1995.2943,8.83,,,
1995.3214,4.87,,,
1995.3756,-10.54,,,
1995.4029,-6.31,,,
1995.43,-12.8,,,
1995.457,-6.44,,,
1995.4843,-16.93,,,
1995.5384,-24.38,,,
1995.5657,-22.19,,,
1995.5929,-29.42,,,
1995.62,-20.18,,,
1995.647,-23.93,,,
1995.6742,-19.92,,,
1995.7013,-7.35,,,
1995.7289,-5.35,,,
1995.7556,-5.84,,,
1995.7829,1.52,,,
1995.8373,-23.42,,,
1995.8645,-22.23,,,
1995.8899,-1.25,,,
1995.9457,-10.24,,,
1995.9726,-15.71,,,
1995.9996,-23.64,,,
1996.0268,-25.61,,,
1996.0535,-1.39,,,
1996.0813,-9.81,,,
1996.1088,-23.44,,,
1996.1634,-19.05,,,
1996.1898,-25.6,,,
1996.2172,-6.43,,,
1996.2443,-18.94,,,
1996.2716,-14.69,,,
1996.2986,-0.67,,,
1996.3258,4.56,,,
1996.353,-5.51,,,
1996.38,-13.48,,,
1996.4072,-7.27,,,
1996.4344,1.98,,,
1996.4888,-14.96,,,
1996.5158,-15.37,,,
1996.543,-8.05,,,
1996.5702,-3.66,,,
1996.5973,-4.13,,,
1996.6247,-13.18,,,
1996.6515,-16,,,
1996.6787,-14.44,,,
1996.7051,-4.16,,,
1996.7338,0.56,,,
1996.7603,-8.21,,,
1996.8143,-1.41,,,
1996.8416,7.08,,,
1996.869,2.5,,,
1996.896,-16.13,,,
1996.9229,-4.7,,,
1996.95,-15.1,,,
1996.977,-14.86,,,
1997.0046,-6.08,,,
1997.0317,-3.68,,,
1997.0587,-20.29,,,
1997.0858,-15.06,,,
1997.1401,1.66,,,
1997.1675,26.45,,,
1997.1945,-1.66,,,
1997.2216,-13.07,,,
1997.249,-6.33,,,
1997.2761,-10.51,,,
1997.3032,-14.61,,,
1997.3304,7,,,
1997.3573,11.06,,,
1997.3845,-3.17,,,
1997.4117,-0.3,,,
1997.466,-28.84,,,
1997.4927,-14.13,,,
1997.5204,-2.17,,,
1997.5475,14.51,,,
1997.5746,8.71,,,
1997.6288,5.93,,,
1997.6561,-7.46,,,
1997.6833,2.36,,,
1997.7101,12.99,,,
1997.7375,11.62,,,
1997.7918,-15.79,,,
1997.8189,-18.94,,,
1997.846,-16.26,,,
1997.8731,-30.46,,,
1997.9002,-15.36,,,
1997.9276,-2.73,,,
1997.9545,-11.88,,,
1997.9819,-4.43,,,
1998.0079,-5.17,,,
1998.036,2.43,,,
1998.0907,-36.47,,,
1998.1176,-23.52,,,
1998.1447,3.2,,,
1998.1719,-6.26,,,
1998.1992,-12.65,,,
1998.2263,-17.93,,,
1998.2533,-15.63,,,
1998.2792,-24.33,,,
1998.3077,-2.05,,,
1998.3349,-1.56,,,
1998.3617,-12.21,,,
1998.4158,-14.36,,,
1998.4433,-9.26,,,
1998.4707,-4.74,,,
1998.4978,-10.08,,,
1998.5248,-13.42,,,
1998.552,-6.54,,,
1998.6064,-2.3,,,
1998.6334,-12.2,,,
1998.6604,-7.2,,,
1998.6878,-17.37,,,
1998.7148,-25.04,,,
1998.7418,-17.51,,,
1998.769,-14.87,,,
1998.8236,-21.77,,,
1998.8506,-16.58,,,
1998.8776,-8.15,,,
1998.9044,-6.48,,,
1998.932,7.23,,,
1998.9594,-12.1,,,
1998.9861,-6.5,,,
1999.0132,-8.55,,,
1999.0405,-5.34,,,
1999.0949,-0.37,,,
1999.1256,3.72,,,
1999.1491,3.47,,,
1999.1764,-1.49,,,
1999.2034,15.02,,,
1999.2311,35.47,,,
1999.2578,24.64,,,
1999.285,10.91,,,
1999.3393,3.37,,,
1999.3666,0.43,,,
1999.3934,-3.09,,,
1999.4207,-0.52,,,
1999.4477,1.25,,,
1999.4749,6.98,,,
1999.5022,11.75,,,
1999.5292,-4.78,,,
1999.5567,2.03,,,
1999.5835,6.32,,,
1999.6107,14.36,,,
1999.6379,11.14,,,
1999.6922,-9.33,,,
1999.7192,-1.47,,,
1999.7464,0.82,,,
1999.7735,7.95,,,
1999.8008,9.37,,,
1999.8279,9.66,,,
1999.8549,7.05,,,
1999.8824,7.1,,,
1999.9088,15,,,
1999.9636,17.79,,,
1999.9911,17.93,,,
2000.0179,29.52,,,
2000.045,15.97,,,
2000.0721,12.71,,,
2000.0992,-5.68,,,
2000.1267,1.89,,,
2000.1535,2.8,,,
2000.181,7.84,,,
2000.2079,11.56,,,
2000.2353,9.76,,,
2000.2895,-0.56,,,
2000.3166,-7.39,,,
2000.3436,-8.8,,,
2000.3708,-10.64,,,
2000.3981,-11.78,,,
2000.4251,-15.69,,,
2000.4524,5.86,,,
2000.4795,2.27,,,
2000.5066,3.37,,,
2000.5337,11.81,,,
2000.5882,10.59,,,
2000.6151,8.81,,,
2000.6424,15.1,,,
2000.6696,7.18,,,
2000.6965,-3.12,,,
2000.7235,-2.24,,,
2000.7508,-3.09,,,
2000.7781,-4.26,,,
2000.8054,-5.43,,,
2000.8595,4.42,,,
2000.886,2.06,,,
2000.9142,14.58,,,
2000.9408,11.47,,,
2000.9681,13.69,,,
2000.9951,9.36,,,
2001.0221,-2.92,,,
2001.0768,1,,,
2001.1041,16.78,,,
2001.1309,6.68,,,
2001.1581,0.32,,,
2001.1852,-2.47,,,
2001.2126,-7.62,,,
2001.2398,4.02,,,
2001.2667,15.92,,,
2001.2938,-6.43,,,
2001.3212,-1.31,,,
2001.3482,-0.43,,,
2001.3754,3.3,,,
2001.4027,-5.77,,,
2001.4296,-4.51,,,
2001.4568,-4.48,,,
2001.4841,12.73,,,
2001.5111,11.44,,,
2001.5381,20.42,,,
2001.5653,11.05,,,
2001.5924,16.55,,,
2001.6196,8.35,,,
2001.6469,6.3,,,
2001.6738,5.37,,,
2001.7011,15.28,,,
2001.7284,9.19,,,
2001.7555,-3.34,,,
2001.7825,2.18,,,
2001.8096,6.05,,,
2001.837,1.01,,,
2001.864,-6.29,,,
2001.8921,1.05,,,
2001.9182,19.95,,,
2001.9455,25.37,,,
2001.972,-1.95,,,
2001.9996,-15.34,,,
2002.0274,-15.31,,,
2002.0535,,7.38,,
2002.0541,11.69,,,
2002.0812,15.36,,,
2002.0817,,12.61,,
2002.1083,,7.84,,
2002.1085,13.1,,,
2002.1352,,9.43,,
2002.1356,6.81,,,
2002.1627,-0.4,-2.79,,
2002.1899,1.3,-11.99,,
2002.2169,,5.66,,
2002.217,14.57,,,
2002.2438,,2.68,,
2002.2441,6.77,,,
2002.2711,0.44,,,
2002.2714,,8.92,,
2002.2984,,16.77,,
2002.2991,9.59,,,
2002.3256,10.78,11.33,,
2002.3526,,15.83,,
2002.3527,18.83,,,
2002.3797,24.47,20.03,,
2002.4069,,7.29,,
2002.407,8.27,,,
2002.434,6.17,8.74,,
2002.4611,6.38,10.71,,
2002.4882,,35.36,,
2002.4885,39.63,,,
2002.5157,,41.11,,
2002.5427,,45.68,,
2002.5428,49.42,,,
2002.5698,,30.86,,
2002.5699,25.74,,,
2002.5968,,12.06,,
2002.597,3.57,,,
2002.624,,14.76,,
2002.6243,10.64,,,
2002.6512,,16.94,,
2002.6548,14.79,,,
2002.6783,,23.41,,
2002.6785,26.1,,,
2002.7056,,12.35,,
2002.7063,17.25,,,
2002.7328,,-1.59,,
2002.7329,2.33,,,
2002.7599,,-4.47,,
2002.7601,1.49,,,
2002.7864,13.24,,,
2002.7869,,13.25,,
2002.814,,29.34,,
2002.8149,34.9,,,
2002.8411,,1.6,,
2002.8419,14.25,,,
2002.8685,20.54,14.37,,
