year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9599,-11.11,,,
1992.9854,11.74,,,
1993.0119,30.59,,,
1993.0387,190.76,,,
1993.0661,115.51,,,
1993.0955,63.83,,,
1993.1199,42.51,,,
1993.1478,13.9,,,
1993.1751,-95.37,,,
1993.2022,71.62,,,
1993.2295,76.64,,,
1993.2838,-82.02,,,
1993.311,-25.54,,,
1993.3383,-25.43,,,
1993.3652,-67.95,,,
1993.3924,-5.09,,,
1993.4195,6.12,,,
1993.4469,-0.9,,,
1993.4739,8.64,,,
1993.499,23.89,,,
1993.5282,-50.49,,,
1993.5823,-44.6,,,
1993.6109,-35.26,,,
1993.6368,-17.88,,,
1993.664,-1.25,,,
1993.6907,-77.95,,,
1993.7175,-63.47,,,
1993.7996,42.28,,,
1993.8541,-31.12,,,
1993.8818,33.52,,,
1993.9073,-56.15,,,
1993.9354,-76.5,,,
1994.0445,-66.92,,,
1994.0709,27.04,,,
1994.1797,-10.01,,,
1994.234,-42.48,,,
1994.2883,-81.91,,,
1994.3155,-66.92,,,
1994.3425,16.74,,,
1994.3698,-23.6,,,
1994.3969,34.57,,,
1994.424,32.64,,,
1994.4512,36.74,,,
1994.5039,-8.01,,,
1994.5328,-51.5,,,
1994.5597,-56,,,
1994.5872,-36.65,,,
1994.6141,18.94,,,
1994.6413,-45.56,,,
1994.6684,-27.47,,,
1994.6958,-54.73,,,
1994.7227,-21.75,,,
1994.7501,52.8,,,
1994.7772,67.1,,,
1994.804,-95.04,,,
1994.8313,-89.86,,,
1994.8856,110.66,,,
1994.913,85.16,,,
1994.9404,91.73,,,
1994.9673,71.86,,,
1994.9935,-9.61,,,
1995.0214,42.65,,,
1995.0753,-65.44,,,
1995.1029,38.25,,,
1995.1301,-11.8,,,
1995.1571,-19.53,,,
1995.2114,15.09,,,
1995.2384,128.2,,,
1995.2661,70.01,,,
1995.2925,-33.85,,,
1995.3199,-61.4,,,
1995.3743,3.47,,,
1995.4016,16.81,,,
1995.4284,-50.87,,,
1995.4559,11.89,,,
1995.4829,41.94,,,
1995.5371,-13.87,,,
1995.5642,-10.89,,,
1995.5914,-21.48,,,
1995.6186,-4.42,,,
1995.6461,35.51,,,
1995.6723,-61.03,,,
1995.7,-72.07,,,
1995.7271,27.85,,,
1995.7546,24.25,,,
1995.7818,69.26,,,
1995.836,125.72,,,
1995.8629,3.39,,,
1995.889,-11.78,,,
1995.9447,5.55,,,
1995.9715,-49.48,,,
1995.9964,-40.55,,,
