year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9614,-13.09,,,
1992.9864,-24.36,,,
1993.0122,-20.67,,,
1993.0405,-29.01,,,
1993.0659,-29.47,,,
1993.0974,-31.26,,,
1993.1205,-25.48,,,
1993.1491,-19.21,,,
1993.1765,-12.63,,,
1993.2036,-16,,,
1993.2307,-11.47,,,
1993.285,-17.1,,,
1993.3122,-8.91,,,
1993.3394,-15.53,,,
1993.3665,-13.83,,,
1993.3936,-17.99,,,
1993.4207,-18.17,,,
1993.448,-16.63,,,
1993.4751,-3.49,,,
1993.5021,-7.53,,,
1993.5294,-9.94,,,
1993.5836,-16.37,,,
1993.6116,-8.83,,,
1993.638,-10.65,,,
1993.6651,-10.34,,,
1993.6922,-14.16,,,
1993.7188,-21.95,,,
1993.7465,-19.58,,,
1993.7738,-15.83,,,
1993.8009,-14.47,,,
1993.8552,-19.72,,,
1993.8824,-20.16,,,
1993.9096,-10.79,,,
1993.9366,-9.14,,,
1993.9637,-1.59,,,
1993.9905,-3.72,,,
1994.018,-12.13,,,
1994.0452,-11.45,,,
1994.0723,-11.25,,,
1994.0995,-15.46,,,
1994.1266,-15.92,,,
1994.1538,-12.75,,,
1994.1809,-6.47,,,
1994.2352,-12.17,,,
1994.2624,-7.82,,,
1994.2895,-4.87,,,
1994.3166,0.42,,,
1994.3438,-13.51,,,
1994.371,-19.33,,,
1994.3981,-24.92,,,
1994.4252,-14.64,,,
1994.4524,-4.55,,,
1994.5067,-15.56,,,
1994.5338,-1.49,,,
1994.561,-4.09,,,
1994.5881,-15.64,,,
1994.6153,-10.25,,,
1994.6425,-1.37,,,
1994.6696,-11.01,,,
1994.6966,-13.86,,,
1994.7239,-13.97,,,
1994.751,-20.12,,,
1994.7781,-14.81,,,
1994.8053,-4.58,,,
1994.8325,-5.63,,,
1994.8868,-20.38,,,
1994.9139,-18.83,,,
1994.9411,-0.8,,,
1994.9683,3.32,,,
1994.9954,-5.05,,,
1995.0225,-16.73,,,
1995.0496,-10.8,,,
1995.0768,5.26,,,
1995.104,2.12,,,
1995.1311,-5.06,,,
1995.1583,-15.59,,,
1995.2126,1.06,,,
1995.2397,-11.57,,,
1995.2668,-10.3,,,
1995.294,-8.34,,,
1995.3212,-11.25,,,
1995.3755,-20.83,,,
1995.4027,-12.05,,,
1995.4297,-10.52,,,
1995.4569,-9.88,,,
1995.484,-9.84,,,
1995.5383,-17.74,,,
1995.5655,-13.16,,,
1995.5926,-8.81,,,
1995.6198,-10.1,,,
1995.647,-12.58,,,
1995.6739,-15.75,,,
1995.7012,-9.04,,,
1995.7284,-8.28,,,
1995.7555,-12.05,,,
1995.7827,-8.56,,,
1995.837,-15.98,,,
1995.8642,-13.68,,,
1995.8898,-5.3,,,
1995.9455,-10.37,,,
1995.9727,-12,,,
1995.9998,-17.51,,,
1996.0269,-20.94,,,
1996.0533,-9.76,,,
1996.0813,-3.53,,,
1996.1084,-0.1,,,
1996.163,-9.13,,,
1996.1899,-14.43,,,
1996.2171,-5.45,,,
1996.2442,0.73,,,
1996.2713,-5.18,,,
1996.2984,-6.81,,,
1996.3256,-8.62,,,
1996.3528,-11.17,,,
1996.3799,-9.13,,,
1996.407,-10,,,
1996.4342,-0.21,,,
1996.4886,-5.93,,,
1996.5157,-12.41,,,
1996.5428,-4.2,,,
1996.5699,4.67,,,
1996.5972,2.71,,,
1996.6243,-9.24,,,
1996.6514,-8.58,,,
1996.6786,-3.4,,,
1996.7053,-1.21,,,
1996.7336,1.43,,,
1996.76,-2.56,,,
1996.8143,3.03,,,
1996.8414,9.37,,,
1996.8686,4.59,,,
1996.8958,-7.43,,,
1996.9229,-7.9,,,
1996.9501,-9.24,,,
1996.9768,-10.73,,,
1997.0044,-6.68,,,
1997.0315,-11.55,,,
1997.0586,-17.52,,,
1997.0858,-7.13,,,
1997.1401,-0.23,,,
1997.1672,-0.16,,,
1997.1943,-2.85,,,
1997.2215,-1.96,,,
1997.2487,3.44,,,
1997.2758,-0.56,,,
1997.303,-7.68,,,
1997.3301,-3.59,,,
1997.3572,-5.45,,,
1997.3844,-3.05,,,
1997.4115,7.66,,,
1997.4659,-7.07,,,
1997.4929,-3.41,,,
1997.5202,4.86,,,
1997.5473,14.03,,,
1997.5744,10,,,
1997.6288,7.72,,,
1997.656,-2.28,,,
1997.6829,-0.63,,,
1997.7102,8.13,,,
1997.7374,7.35,,,
1997.7916,-2.14,,,
1997.8188,0.86,,,
1997.8459,6.53,,,
1997.873,-0.74,,,
1997.9001,1.44,,,
1997.9273,3.15,,,
1997.9545,-3.32,,,
1997.9816,5.26,,,
1998.0082,5.83,,,
1998.036,5.12,,,
1998.0903,1.76,,,
1998.1174,-2.06,,,
1998.1445,-2.27,,,
1998.1717,-7.2,,,
1998.1988,-9.48,,,
1998.226,-5.77,,,
1998.253,-11.85,,,
1998.2791,-12.94,,,
1998.3075,-6.05,,,
1998.3346,-3.96,,,
1998.3617,-15.24,,,
1998.4156,-7.4,,,
1998.4431,-2.51,,,
1998.4703,-9.22,,,
1998.4975,-8.92,,,
1998.5246,-14.88,,,
1998.5517,-21.93,,,
1998.6062,-9.42,,,
1998.6332,-16.71,,,
1998.6603,-16.45,,,
1998.6875,-16.65,,,
1998.7147,-24.72,,,
1998.7418,-14.92,,,
1998.7689,-15.26,,,
1998.8233,-15.42,,,
1998.8504,-12.51,,,
1998.8774,-10.27,,,
1998.9046,-16.79,,,
1998.9319,-5.9,,,
1998.959,-17.4,,,
1998.9861,-12.17,,,
1999.0133,-15.14,,,
1999.0405,-9.81,,,
1999.0948,-14.95,,,
1999.1255,2.19,,,
1999.149,-4.91,,,
1999.1762,-8.83,,,
1999.2033,-16.6,,,
1999.2305,8.03,,,
1999.2576,3.76,,,
1999.2847,-4.5,,,
1999.339,-11.03,,,
1999.3662,-17.43,,,
