year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9616,81.32,,,
1992.9861,67.71,,,
1993.0138,50.16,,,
1993.0405,-71.35,,,
1993.0675,-78.73,,,
1993.0978,-18.77,,,
1993.1212,-76.27,,,
1993.1491,-33.72,,,
1993.1762,59.48,,,
1993.2033,13.58,,,
1993.2305,-25.73,,,
1993.2848,-46.64,,,
1993.3119,-10.26,,,
1993.3379,-7.23,,,
1993.3661,-48.71,,,
1993.3936,-88.45,,,
1993.4206,-49.84,,,
1993.4477,-63.39,,,
1993.474,-86.34,,,
1993.4951,28.75,,,
1993.5292,-23.83,,,
1993.5825,-77.65,,,
1993.6378,-62.05,,,
1993.6648,30.2,,,
1993.6924,-4.38,,,
1993.7191,5.76,,,
1993.7461,-35.12,,,
1993.7736,-3.32,,,
1993.8005,6.74,,,
1993.854,8.74,,,
1993.8827,27.13,,,
1993.9098,-90.68,,,
1993.9354,-11.78,,,
1993.9634,17.17,,,
1993.9933,29.69,,,
1994.0179,-29.14,,,
1994.0442,73.03,,,
1994.0722,46.05,,,
1994.0974,-27.38,,,
1994.1264,-63.35,,,
1994.1536,-29.42,,,
1994.1807,58.7,,,
1994.2349,-9.03,,,
1994.2627,20.06,,,
1994.2883,75.86,,,
1994.3164,10.13,,,
1994.3441,2.51,,,
1994.3701,-64.88,,,
1994.398,-58.14,,,
1994.4257,-32.74,,,
1994.4522,7.61,,,
1994.4966,-66.09,,,
1994.5318,-9.69,,,
1994.5586,1.58,,,
1994.5869,13.8,,,
1994.6151,46.41,,,
1994.6407,-6.52,,,
1994.6694,-11.01,,,
1994.6965,-14.39,,,
1994.722,33.96,,,
1994.7513,-21.27,,,
1994.7761,58.74,,,
1994.8033,18.99,,,
1994.8322,58.09,,,
1994.8868,59.54,,,
1994.9136,-64.18,,,
1994.9678,-56.91,,,
1994.994,-69.71,,,
1995.0214,5.81,,,
1995.0483,-30.75,,,
1995.0767,-91.79,,,
1995.1039,43.78,,,
1995.1308,3.84,,,
1995.1572,10.79,,,
1995.2123,33.62,,,
1995.2394,-55.42,,,
1995.2665,-33.53,,,
1995.2931,30.93,,,
1995.319,71.99,,,
1995.3758,-71.56,,,
1995.4004,-19.88,,,
1995.4301,-74.97,,,
1995.4547,3.53,,,
1995.4838,-66.34,,,
1995.5379,-42.27,,,
1995.5652,146.36,,,
1995.5924,14.04,,,
1995.6169,30.99,,,
1995.6466,-13.24,,,
1995.6745,-58.57,,,
1995.7008,-26.59,,,
1995.7282,-46.12,,,
1995.7551,-26.96,,,
1995.7824,-50.96,,,
1995.8369,-16,,,
1995.8638,-24.22,,,
1995.8909,-43.26,,,
1995.9454,117.74,,,
1995.9725,4.99,,,
1995.9955,72.43,,,
1996.0267,41.5,,,
1996.0481,-2.36,,,
1996.0805,-16.42,,,
1996.1082,48.77,,,
1996.1625,48.63,,,
1996.189,78.45,,,
1996.2167,92.25,,,
1996.244,-27.18,,,
1996.271,45.87,,,
1996.2984,19.15,,,
1996.3255,-34.51,,,
1996.3531,15.15,,,
1996.38,-10.26,,,
1996.4067,-9.86,,,
1996.4341,55.4,,,
1996.4882,-55.89,,,
1996.5153,37.51,,,
1996.5428,19.13,,,
1996.5689,-35.18,,,
1996.5968,31.24,,,
1996.6247,2.68,,,
1996.6512,12.73,,,
1996.6785,-46.03,,,
1996.7054,-25.51,,,
1996.7353,18.17,,,
1996.7599,14.42,,,
1996.8138,-32.3,,,
1996.8414,-35.98,,,
1996.8683,-22.67,,,
1996.8956,38.7,,,
1996.9226,63.69,,,
1996.9497,-22.21,,,
1996.9773,-22.18,,,
1997.0045,-25.64,,,
1997.0297,7.45,,,
1997.0585,21.42,,,
1997.0854,-66.66,,,
1997.1399,-47.62,,,
1997.1669,-15.42,,,
1997.1941,31.26,,,
1997.2215,-13.67,,,
1997.2479,34.39,,,
1997.2756,0.4,,,
1997.3024,-15.55,,,
1997.3301,-0.94,,,
1997.3552,14.84,,,
1997.3849,-28.82,,,
1997.4116,-85.11,,,
1997.4655,107.83,,,
1997.4887,91.66,,,
1997.5199,29.89,,,
1997.5467,43.1,,,
1997.5742,-25.04,,,
1997.6285,-18.04,,,
1997.6556,12.69,,,
1997.6828,56.42,,,
1997.7099,-15.84,,,
1997.7371,18.48,,,
1997.7918,97.18,,,
1997.8184,118.22,,,
1997.8457,109.45,,,
1997.8729,22.05,,,
1997.9001,19.77,,,
1997.9271,3.41,,,
1997.9532,-12.5,,,
1997.9816,-82.36,,,
1998.0075,-11.35,,,
1998.0891,-20.98,,,
1998.1171,-53.74,,,
1998.1443,-32.62,,,
1998.1714,-86.43,,,
1998.199,-21.28,,,
1998.2257,28.87,,,
1998.2537,56.24,,,
1998.2801,49.27,,,
1998.3072,48.36,,,
1998.3342,-15.47,,,
1998.3599,57.9,,,
1998.4137,-41.74,,,
1998.4415,13.22,,,
1998.4674,12.48,,,
1998.4973,68.75,,,
1998.5244,4.98,,,
1998.5515,99.31,,,
1998.6059,-18.46,,,
1998.6329,116.41,,,
1998.6603,139.84,,,
1998.6858,96.36,,,
1998.7144,1.01,,,
1998.7419,18.89,,,
1998.7687,5.33,,,
1998.8229,20.81,,,
1998.8501,-3.18,,,
1998.8769,-47.09,,,
1998.9045,-22.38,,,
1998.9338,-12.68,,,
1998.9588,147.38,,,
1998.986,74.37,,,
1999.005,18.19,,,
1999.0403,34.14,,,
1999.0944,78.94,,,
1999.1237,111.7,,,
1999.1489,108.4,,,
1999.176,152.92,,,
1999.2031,-20.05,,,
1999.2282,-82.76,,,
1999.2575,15.17,,,
1999.2829,-61.49,,,
1999.3388,-66.24,,,
1999.366,-40.88,,,
1999.393,93.89,,,
1999.4193,17.51,,,
1999.4474,6.55,,,
1999.4741,-32.75,,,
1999.5015,-2.21,,,
1999.5289,20.89,,,
1999.5585,20.38,,,
1999.5811,-35.95,,,
1999.6092,-45.32,,,
1999.6374,72.51,,,
1999.6898,21.82,,,
1999.7188,-12.35,,,
1999.746,-59.98,,,
1999.7731,-0.55,,,
1999.8011,-21.14,,,
1999.8275,-43.97,,,
1999.8546,-81.06,,,
1999.8819,-85.83,,,
1999.9088,-47.65,,,
1999.9633,12.54,,,
1999.9903,24.62,,,
2000.0176,14.12,,,
2000.0446,71.55,,,
2000.0717,60.77,,,
2000.099,-54.95,,,
2000.1261,-25.29,,,
2000.1532,-25.87,,,
2000.1805,-86.75,,,
2000.2076,-73.54,,,
2000.2348,18.36,,,
2000.2878,-7.67,,,
2000.3168,1.25,,,
2000.3706,-23.1,,,
2000.3977,64.92,,,
2000.4249,36.52,,,
2000.4519,-57.25,,,
2000.4792,-78.24,,,
2000.5062,-59.1,,,
2000.5332,-46.48,,,
2000.5858,7.09,,,
2000.6151,52.81,,,
2000.6418,-28.81,,,
2000.6691,-86.54,,,
2000.6962,-6.31,,,
2000.7228,5.1,,,
2000.7504,32.54,,,
2000.7776,24.54,,,
2000.8049,-64.5,,,
2000.8591,-51.76,,,
2000.8863,19.46,,,
2000.916,-56.66,,,
2000.9404,-58.08,,,
2000.9679,-26.78,,,
2000.9944,-78.14,,,
2001.0219,-46.14,,,
2001.0763,-2.91,,,
2001.1035,-59.72,,,
2001.1306,-89.55,,,
2001.1577,-39.43,,,
2001.1856,35.05,,,
2001.2119,0.37,,,
2001.2351,-31.73,,,
2001.2665,-11.33,,,
2001.2929,7.26,,,
2001.3207,33.93,,,
2001.3478,-2.57,,,
2001.375,-43.06,,,
2001.4021,-21.46,,,
2001.4291,31.32,,,
2001.4564,-12.41,,,
2001.4835,-21.21,,,
2001.5106,-47.54,,,
2001.5359,-36.25,,,
2001.5653,30.36,,,
2001.5921,4.86,,,
2001.6192,-37.6,,,
2001.6463,-36.08,,,
2001.6735,-17.44,,,
2001.6988,-4.83,,,
2001.728,-7.25,,,
2001.7555,-42.89,,,
2001.7821,-71.76,,,
2001.8075,-96.97,,,
2001.8364,-94.39,,,
2001.8617,6.96,,,
2001.8908,-66.46,,,
2001.9179,31.43,,,
2001.945,13.34,,,
2001.9722,49.99,,,
2001.9987,80.63,,,
2002.0256,62.24,,,
2002.0528,,32.78,,
2002.053,-4.19,,,
2002.0808,-94.75,,,
2002.083,,-83.22,,
2002.1073,-39.88,,,
2002.1074,,-20.02,,
2002.1351,8.93,,,
2002.1352,,26.1,,
2002.1617,,24.18,,
2002.1625,23.43,,,
2002.1892,11.69,,,
2002.1896,,-3.51,,
2002.2167,108.65,,,
2002.217,,87.79,,
2002.2442,81.32,,,
2002.2457,,78.14,,
2002.2709,4.08,,,
2002.2715,,-8.93,,
2002.2979,-36.56,,,
2002.298,,-43,,
2002.3233,,-68.36,,
2002.3244,-45.17,,,
2002.3511,,11.73,,
2002.3524,2.22,,,
2002.3794,-34.22,,,
2002.3795,,-42.28,,
2002.4063,,-63,,
2002.4065,-58.62,,,
2002.4342,-58.51,-59.91,,
2002.4607,,7.41,,
2002.4609,12.05,,,
2002.4877,,-46.34,,
2002.4878,-30.35,,,
2002.5146,,-69.36,,
2002.5421,-47.72,,,
2002.5422,,-50.21,,
2002.5688,,-43.45,,
2002.5694,-48.31,,,
2002.5965,-31.53,,,
2002.5967,,-22.14,,
2002.6218,-30.03,,,
2002.6238,,-27.83,,
2002.6506,,47.74,,
2002.6557,96.97,,,
2002.6732,-0.17,,,
2002.678,,-48.2,,
2002.7052,,-46.81,,
2002.7088,-46.31,,,
2002.7321,,27.64,,
2002.7345,2.14,,,
2002.7599,,14.62,,
2002.7614,22.91,,,
2002.7851,,57.03,,
2002.7854,52.06,,,
2002.8087,9.97,,,
2002.8142,,-26.2,,
2002.8413,,-76.53,,
2002.8431,-74.33,,,
2002.868,,16.4,,
2002.8701,29.53,,,
2002.8933,,-30.91,,
2002.8951,8.9,,,
2002.9212,,-13.91,,
2002.9234,8.39,,,
2002.95,,-20.11,,
2002.9511,-77.05,,,
2002.9784,,-70.68,,
2002.9788,-26.62,,,
2003.0039,,-50.73,,
2003.0083,-8.97,,,
2003.0309,,-97.34,,
2003.0579,,-8.89,,
2003.0603,-45.39,,,
2003.0849,,46.38,,
2003.0891,97.22,,,
2003.1125,,-16.29,,
2003.1172,-47.99,,,
2003.1397,,-11.93,,
2003.1418,-84.43,,,
2003.1952,,-63.1,,
2003.1986,-87.95,,,
2003.22,,51.28,,
2003.2208,19.76,,,
2003.2472,,58.59,,
2003.2502,45.74,,,
2003.2747,,58.69,,
2003.2771,54.33,,,
2003.3032,,-41,,
2003.305,-11.73,,,
2003.3268,36.1,,,
2003.3301,,-49.36,,
2003.3562,,79.59,,
2003.3566,90.6,,,
2003.3835,,-54.04,,
2003.3859,-41.46,,,
2003.4104,,-96.25,,
2003.4152,-64.85,,,
2003.4377,,-29.3,,
2003.4402,-11.86,,,
2003.4652,31.07,,,
2003.4681,,81.38,,
2003.4922,,72.84,,
2003.4945,76.61,,,
2003.5167,72.61,,,
2003.5197,,50.67,,
2003.547,,30.75,,
2003.5492,4.65,,,
2003.5733,,-5.12,,
2003.576,-9.07,,,
2003.6012,,32.2,,
2003.6022,-2.48,,,
2003.6285,,8.97,,
2003.63,-17.36,,,
2003.6555,,-14.61,,
2003.6561,-5.81,,,
2003.6828,,-67.68,,
2003.6851,-31.77,,,
2003.7095,,0.27,,
2003.7116,13.75,,,
2003.7365,,1.8,,
2003.7414,-60.24,,,
2003.7648,,2.39,,
2003.771,16.25,,,
2003.7889,-28.18,,,
2003.7912,,-25.71,,
2003.8179,,-56.17,,
2003.82,-23.91,,,
2003.8454,,5.63,,
2003.8498,38.08,,,
2003.8688,20.47,,,
2003.8724,,1.98,,
2003.8973,-4.98,,,
2003.9272,,20.45,,
2003.929,3.51,,,
2003.9539,,5.42,,
2003.9614,-4.54,,,
2003.9816,,50.31,,
2003.9874,134.13,,,
2004.0083,,88.67,,
2004.009,22.26,,,
2004.0354,,100.22,,
2004.0384,63.63,,,
2004.0627,,75.38,,
2004.0669,52.64,,,
2004.0864,-10.53,,,
2004.0896,,20.47,,
2004.1151,,-5.24,,
2004.1174,-33.79,,,
2004.1456,-66.29,,,
2004.1467,,-54.54,,
2004.1699,,-43.52,,
2004.1786,5.24,,,
2004.1945,58.44,,,
2004.1985,,12.97,,
2004.2253,,-17.29,,
2004.2256,13.46,,,
2004.2487,,-11.08,,
2004.2546,-20.9,,,
2004.2799,,-38.81,,
2004.2817,2.87,,,
2004.307,,-18.67,,
2004.3076,83.08,,,
2004.3338,,-27.11,,
