year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9598,-68.57,,,
1992.9858,-31.82,,,
1993.0129,0.58,,,
1993.041,19.78,,,
1993.0673,-66.78,,,
1993.0968,-96.26,,,
1993.1215,-73.56,,,
1993.1496,-18.43,,,
1993.176,-24.5,,,
1993.2029,5.61,,,
1993.2303,25.71,,,
1993.2848,39.9,,,
1993.3118,39.18,,,
1993.339,-2.63,,,
1993.3666,7.8,,,
1993.3935,-6.45,,,
1993.4202,-1.64,,,
1993.4473,-71.12,,,
1993.4749,-70.36,,,
1993.5002,-48.64,,,
1993.529,-18.86,,,
1993.5844,-84.24,,,
1993.6119,-80.1,,,
1993.6372,-67.57,,,
1993.6646,-84.51,,,
1993.6922,-78.03,,,
1993.719,-74.1,,,
1993.7462,-12.24,,,
1993.7736,-6.73,,,
1993.8005,4.84,,,
1993.8547,-70.54,,,
1993.882,-20.67,,,
1993.9361,-81.5,,,
1993.9632,-55.07,,,
1993.9906,-20.39,,,
1994.0174,-28.71,,,
1994.0447,27.87,,,
1994.072,-2.28,,,
1994.0989,-47.14,,,
1994.1261,-26.4,,,
1994.1542,-19.51,,,
1994.1803,-6.83,,,
1994.2352,-7.06,,,
1994.2621,-6.07,,,
1994.2897,13.93,,,
1994.3175,45.1,,,
1994.344,-19.9,,,
1994.3706,-80.43,,,
1994.397,-34.69,,,
1994.4246,-34.04,,,
1994.4519,-35.33,,,
1994.5056,-61.63,,,
1994.5336,-36.17,,,
1994.5614,-21.81,,,
1994.5878,9.44,,,
1994.6158,43.91,,,
1994.6417,46.31,,,
1994.67,29.56,,,
1994.6965,14.87,,,
1994.7235,12.09,,,
1994.75,-57.58,,,
1994.7776,-32.29,,,
1994.805,-28.56,,,
1994.832,-18.16,,,
1994.8866,-8.27,,,
1994.9134,-46.22,,,
1994.9409,-1.39,,,
1994.9677,4.3,,,
1994.9949,6.79,,,
1995.022,-64.98,,,
1995.049,-7.71,,,
1995.0755,36.81,,,
