year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9594,-9.79,,,
1992.9851,-43.59,,,
1993.012,-46.49,,,
1993.0405,-36.36,,,
1993.066,-39.32,,,
1993.0964,-39.54,,,
1993.1194,-15.92,,,
1993.1497,9.31,,,
1993.1752,-8.89,,,
1993.2053,33.15,,,
1993.2306,-1.37,,,
1993.2845,-23.07,,,
1993.3129,-6.22,,,
1993.3394,-15.1,,,
1993.3657,-8.63,,,
1993.3927,0.67,,,
1993.4196,-2.18,,,
1993.4472,-27.8,,,
1993.4735,-12.39,,,
1993.5001,-15.89,,,
1993.5282,-15.8,,,
1993.5826,-12.54,,,
1993.6104,-11.88,,,
1993.637,-20.55,,,
1993.6642,-0.57,,,
1993.6917,-25.89,,,
1993.718,-25.38,,,
1993.7462,-4.84,,,
1993.7727,-25.9,,,
1993.7996,-39.57,,,
1993.8542,-16.03,,,
1993.8819,-36.89,,,
1993.9083,-75.36,,,
1993.9351,-65.64,,,
1993.9625,-6.21,,,
1993.9892,0.7,,,
1994.0161,-6.64,,,
1994.0431,-28.19,,,
1994.0702,-41.51,,,
1994.0975,-51.46,,,
1994.1266,-29.87,,,
1994.1527,-4.27,,,
1994.1809,-6.14,,,
1994.2324,-34.48,,,
1994.2625,-11.15,,,
1994.2888,-30.32,,,
1994.3169,-22.33,,,
1994.3439,-42.56,,,
1994.3705,-18.66,,,
1994.3963,-28.32,,,
1994.4243,-39.6,,,
1994.4513,-17.54,,,
1994.5051,-31.8,,,
1994.5327,-40.79,,,
1994.5596,-21.59,,,
1994.5873,-44.56,,,
1994.6142,-41.71,,,
1994.6412,2.52,,,
1994.6682,2.71,,,
1994.6955,2.29,,,
1994.7224,4.18,,,
1994.75,5.73,,,
1994.7768,-9.51,,,
1994.8042,-25.38,,,
1994.8312,4.44,,,
1994.8856,-59.25,,,
1994.9127,-31.96,,,
1994.9396,-31.36,,,
1994.9665,-15.83,,,
1994.9932,-22.29,,,
1995.0222,-15.05,,,
1995.0463,-20.49,,,
1995.076,19.09,,,
1995.101,13.9,,,
1995.1321,58.75,,,
1995.1556,-9.46,,,
1995.2112,-12.89,,,
1995.2395,-25.26,,,
1995.2662,-1.15,,,
1995.2945,11.58,,,
1995.3198,3.92,,,
1995.3747,0.31,,,
1995.4018,10.1,,,
1995.4286,-16.29,,,
1995.4554,12.22,,,
1995.4833,5.32,,,
1995.5372,0.72,,,
1995.5644,-15.92,,,
1995.5914,-41.91,,,
1995.6187,-23.96,,,
1995.6455,-8.5,,,
1995.6731,-4.58,,,
1995.7004,-0.3,,,
1995.7271,7.66,,,
1995.7547,16.65,,,
1995.7813,-9.7,,,
1995.836,26.39,,,
1995.8634,0.45,,,
1995.8893,27.98,,,
1995.9444,47.81,,,
1995.9714,2.65,,,
1995.9976,37.42,,,
1996.0253,49.8,,,
1996.0516,-1.51,,,
1996.0809,2.67,,,
1996.1076,38.8,,,
1996.1618,-8.39,,,
1996.1885,3.33,,,
1996.2166,-15.38,,,
1996.2438,13.26,,,
1996.2713,19.84,,,
1996.2977,28.13,,,
1996.3241,30.29,,,
1996.3528,50.45,,,
1996.3786,42.98,,,
1996.4056,-11.55,,,
1996.4328,32.11,,,
1996.4868,-19.79,,,
1996.514,2.65,,,
1996.5419,20.62,,,
1996.5689,3.4,,,
1996.5962,3.51,,,
1996.624,7.47,,,
