year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9612,-23.86,,,
1992.9865,-19.58,,,
1993.0122,-11.56,,,
1993.0406,-20.69,,,
1993.0659,-26.74,,,
1993.0975,-31.5,,,
1993.1206,-28.4,,,
1993.1492,-20.99,,,
1993.1765,-23.38,,,
1993.2035,-21.5,,,
1993.2308,-26.52,,,
1993.2851,-31.61,,,
1993.3121,-24.27,,,
1993.3393,-18.36,,,
1993.3665,-16.45,,,
1993.3936,-21.56,,,
1993.4208,-21.83,,,
1993.448,-23.93,,,
1993.4751,-11.92,,,
1993.5022,-6.39,,,
1993.5294,-21.5,,,
1993.5837,-29.52,,,
1993.6115,-22.18,,,
1993.638,-20.44,,,
1993.6651,-15.98,,,
1993.6922,-8.99,,,
1993.7188,-14.04,,,
1993.7466,-20.34,,,
1993.7738,-21.56,,,
1993.8008,-23.42,,,
1993.8553,-9.87,,,
1993.8824,-18.87,,,
1993.9097,-17.29,,,
1993.9366,-13.42,,,
1993.9637,-7.99,,,
1993.9906,-10.24,,,
1994.018,-23.17,,,
1994.0452,-24.62,,,
1994.0723,-20.35,,,
1994.0995,-18.21,,,
1994.1266,-15.73,,,
1994.1538,-10.17,,,
1994.1808,-8.3,,,
1994.2352,-12.96,,,
1994.2623,-19.38,,,
1994.2895,-10.59,,,
1994.3167,-8.43,,,
1994.3438,-13.45,,,
1994.3709,-15.81,,,
1994.3982,-19.28,,,
1994.4252,-15.98,,,
1994.4523,-12.74,,,
1994.5067,-20.9,,,
1994.5338,-20.3,,,
1994.561,-13.59,,,
1994.5881,-7.27,,,
1994.6152,-5.34,,,
1994.6424,-3.84,,,
1994.6697,-13.84,,,
1994.6967,-20.51,,,
1994.7239,-25.93,,,
1994.7509,-18.06,,,
1994.7781,-15.64,,,
1994.8053,0.14,,,
1994.8324,-13.14,,,
1994.8867,-22.99,,,
1994.9139,-19.75,,,
1994.9411,-12.38,,,
1994.9682,-13.19,,,
1994.9954,-10.01,,,
1995.0225,-12.29,,,
